shift_key,date_key,store_key,employee_key,shift_type,scheduled_hours,actual_hours,labor_cost,is_overtime
182,20240821,1,1,Morning,8.5,8.5,690.12,0
183,20240822,1,1,Morning,8.5,8.5,690.12,0
184,20240825,1,1,Morning,8.5,8.2,665.76,0
185,20240826,1,1,Morning,8.5,8.4,682.00,0
186,20240827,1,1,Morning,8.5,8.9,722.59,1
187,20240828,1,1,Morning,8.5,9.5,771.31,1
188,20240829,1,1,Morning,8.5,8.5,690.12,0
189,20240901,1,1,Morning,8.5,8.3,673.88,0
190,20240902,1,1,Morning,8.5,9.5,771.31,1
191,20240903,1,1,Morning,8.5,8.6,698.23,0
192,20240904,1,1,Morning,8.5,8.1,657.64,0
193,20240905,1,1,Morning,8.5,8.0,649.52,0
194,20240906,1,1,Morning,5.0,5.2,422.19,0
195,20240908,1,1,Morning,8.5,8.6,698.23,0
196,20240909,1,1,Morning,8.5,8.4,682.00,0
197,20240910,1,1,Morning,8.5,9.2,746.95,1
198,20240911,1,1,Morning,8.5,9.4,763.19,1
199,20240912,1,1,Morning,8.5,8.7,706.35,0
200,20240915,1,1,Morning,8.5,8.3,673.88,0
201,20240916,1,1,Morning,8.5,8.9,722.59,1
202,20240917,1,1,Morning,8.5,8.8,714.47,1
203,20240918,1,1,Morning,8.5,8.1,657.64,0
204,20240919,1,1,Morning,8.5,9.4,763.19,1
205,20240920,1,1,Morning,5.0,5.7,462.78,1
206,20240922,1,1,Morning,8.5,9.3,755.07,1
207,20240923,1,1,Morning,8.5,8.2,665.76,0
208,20240924,1,1,Morning,8.5,9.5,771.31,1
209,20240925,1,1,Morning,8.5,8.0,649.52,0
210,20240926,1,1,Morning,8.5,8.2,665.76,0
211,20240929,1,1,Morning,8.5,9.3,755.07,1
212,20240930,1,1,Morning,8.5,9.0,730.71,1
213,20241001,1,1,Morning,8.5,8.4,682.00,0
214,20241002,1,1,Morning,8.5,8.5,690.12,0
215,20241006,1,1,Morning,8.5,8.8,714.47,1
216,20241007,1,1,Morning,8.5,8.9,722.59,1
217,20241008,1,1,Morning,8.5,9.5,771.31,1
218,20241009,1,1,Morning,8.5,9.3,755.07,1
219,20241010,1,1,Morning,8.5,9.3,755.07,1
220,20241011,1,1,Morning,5.0,5.2,422.19,0
221,20241013,1,1,Morning,8.5,9.3,755.07,1
222,20241014,1,1,Morning,8.5,8.6,698.23,0
223,20241015,1,1,Morning,8.5,8.5,690.12,0
224,20241016,1,1,Morning,8.5,8.4,682.00,0
225,20241018,1,1,Morning,5.0,4.9,397.83,0
226,20241020,1,1,Morning,8.5,9.5,771.31,1
227,20241021,1,1,Morning,8.5,9.3,755.07,1
228,20241022,1,1,Morning,8.5,8.4,682.00,0
229,20241023,1,1,Morning,8.5,8.6,698.23,0
230,20241027,1,1,Morning,8.5,9.2,746.95,1
231,20241028,1,1,Morning,8.5,9.4,763.19,1
232,20241029,1,1,Morning,8.5,8.6,698.23,0
233,20241030,1,1,Morning,8.5,9.2,746.95,1
234,20241031,1,1,Morning,8.5,8.5,690.12,0
235,20241101,1,1,Morning,5.0,4.7,381.59,0
236,20241103,1,1,Morning,8.5,8.0,649.52,0
237,20241104,1,1,Morning,8.5,8.9,722.59,1
238,20241105,1,1,Morning,8.5,8.7,706.35,0
239,20241106,1,1,Morning,8.5,9.5,771.31,1
240,20241107,1,1,Morning,8.5,8.7,706.35,0
241,20241110,1,1,Morning,8.5,8.9,722.59,1
242,20241111,1,1,Morning,8.5,9.2,746.95,1
243,20241112,1,1,Morning,8.5,8.7,706.35,0
244,20241113,1,1,Morning,8.5,8.1,657.64,0
245,20241114,1,1,Morning,8.5,8.2,665.76,0
246,20241115,1,1,Morning,5.0,5.9,479.02,1
247,20241117,1,1,Morning,8.5,8.9,722.59,1
248,20241118,1,1,Morning,8.5,8.9,722.59,1
249,20241119,1,1,Morning,8.5,8.4,682.00,0
250,20241120,1,1,Morning,8.5,8.1,657.64,0
251,20241121,1,1,Morning,8.5,9.5,771.31,1
252,20241124,1,1,Morning,8.5,8.2,665.76,0
253,20241125,1,1,Morning,8.5,8.7,706.35,0
254,20241126,1,1,Morning,8.5,8.1,657.64,0
255,20241127,1,1,Morning,8.5,8.9,722.59,1
256,20241128,1,1,Morning,8.5,9.4,763.19,1
257,20241201,1,1,Morning,8.5,8.8,714.47,1
258,20241202,1,1,Morning,8.5,8.5,690.12,0
259,20241203,1,1,Morning,8.5,8.9,722.59,1
260,20241204,1,1,Morning,8.5,8.6,698.23,0
261,20241205,1,1,Morning,8.5,9.3,755.07,1
262,20241206,1,1,Morning,5.0,5.7,462.78,1
263,20241208,1,1,Morning,8.5,8.7,706.35,0
264,20241209,1,1,Morning,8.5,8.6,698.23,0
265,20241210,1,1,Morning,8.5,9.1,738.83,1
266,20241211,1,1,Morning,8.5,8.9,722.59,1
267,20241212,1,1,Morning,8.5,8.5,690.12,0
268,20241213,1,1,Morning,5.0,4.8,389.71,0
269,20241215,1,1,Morning,8.5,8.5,690.12,0
270,20241216,1,1,Morning,8.5,8.2,665.76,0
271,20241217,1,1,Morning,8.5,8.0,649.52,0
272,20241218,1,1,Morning,8.5,9.3,755.07,1
273,20241219,1,1,Morning,8.5,8.4,682.00,0
274,20241220,1,1,Morning,5.0,5.8,470.90,1
275,20241222,1,1,Morning,8.5,8.5,690.12,0
276,20241223,1,1,Morning,8.5,8.4,682.00,0
277,20241224,1,1,Morning,8.5,8.6,698.23,0
278,20241225,1,1,Morning,8.5,8.4,682.00,0
279,20241227,1,1,Morning,5.0,5.8,470.90,1
280,20241229,1,1,Morning,8.5,9.0,730.71,1
281,20241230,1,1,Morning,8.5,8.2,665.76,0
282,20241231,1,1,Morning,8.5,9.2,746.95,1
283,20250101,1,1,Morning,8.5,9.3,755.07,1
284,20250102,1,1,Morning,8.5,8.4,682.00,0
285,20250103,1,1,Morning,5.0,4.4,357.24,0
286,20250105,1,1,Morning,8.5,8.3,673.88,0
287,20250106,1,1,Morning,8.5,8.3,673.88,0
288,20250107,1,1,Morning,8.5,8.1,657.64,0
289,20250108,1,1,Morning,8.5,8.0,649.52,0
290,20250109,1,1,Morning,8.5,9.2,746.95,1
291,20250112,1,1,Morning,8.5,8.8,714.47,1
292,20250113,1,1,Morning,8.5,8.5,690.12,0
293,20250114,1,1,Morning,8.5,8.4,682.00,0
294,20250115,1,1,Morning,8.5,8.7,706.35,0
295,20250116,1,1,Morning,8.5,9.4,763.19,1
296,20250117,1,1,Morning,5.0,4.8,389.71,0
297,20250119,1,1,Morning,8.5,8.0,649.52,0
298,20250120,1,1,Morning,8.5,9.2,746.95,1
299,20250121,1,1,Morning,8.5,8.5,690.12,0
300,20250122,1,1,Morning,8.5,8.0,649.52,0
301,20250123,1,1,Morning,8.5,9.3,755.07,1
302,20250126,1,1,Morning,8.5,8.0,649.52,0
303,20250127,1,1,Morning,8.5,8.1,657.64,0
304,20250128,1,1,Morning,8.5,8.7,706.35,0
305,20250129,1,1,Morning,8.5,9.3,755.07,1
306,20250130,1,1,Morning,8.5,9.4,763.19,1
307,20250131,1,1,Morning,5.0,5.2,422.19,0
308,20250202,1,1,Morning,8.5,8.7,706.35,0
309,20250203,1,1,Morning,8.5,8.8,714.47,1
310,20250204,1,1,Morning,8.5,8.7,706.35,0
311,20250205,1,1,Morning,8.5,8.4,682.00,0
312,20250206,1,1,Morning,8.5,9.1,738.83,1
313,20250209,1,1,Morning,8.5,9.3,755.07,1
314,20250210,1,1,Morning,8.5,8.2,665.76,0
315,20250211,1,1,Morning,8.5,9.3,755.07,1
316,20250212,1,1,Morning,8.5,9.4,763.19,1
317,20250213,1,1,Morning,8.5,9.4,763.19,1
318,20250216,1,1,Morning,8.5,9.4,763.19,1
319,20250217,1,1,Morning,8.5,8.9,722.59,1
320,20250218,1,1,Morning,8.5,9.0,730.71,1
321,20250219,1,1,Morning,8.5,8.7,706.35,0
322,20250220,1,1,Morning,8.5,8.6,698.23,0
323,20250221,1,1,Morning,5.0,5.1,414.07,0
324,20250223,1,1,Morning,8.5,9.4,763.19,1
325,20250224,1,1,Morning,8.5,7.9,641.40,0
326,20250225,1,1,Morning,8.5,9.0,730.71,1
327,20250226,1,1,Morning,8.5,8.1,657.64,0
328,20250227,1,1,Morning,8.5,8.0,649.52,0
329,20250302,1,1,Morning,8.5,8.2,665.76,0
330,20250303,1,1,Morning,8.5,9.3,755.07,1
331,20250304,1,1,Morning,8.5,9.5,771.31,1
332,20250305,1,1,Morning,8.5,8.8,714.47,1
333,20250306,1,1,Morning,8.5,8.4,682.00,0
334,20250309,1,1,Morning,8.5,8.4,682.00,0
335,20250310,1,1,Morning,8.5,9.0,730.71,1
336,20250311,1,1,Morning,8.5,8.5,690.12,0
337,20250312,1,1,Morning,8.5,8.3,673.88,0
338,20250313,1,1,Morning,8.5,9.2,746.95,1
339,20250316,1,1,Morning,8.5,9.4,763.19,1
340,20250317,1,1,Morning,8.5,9.3,755.07,1
341,20250318,1,1,Morning,8.5,8.6,698.23,0
342,20250319,1,1,Morning,8.5,8.3,673.88,0
343,20250320,1,1,Morning,8.5,9.4,763.19,1
344,20250323,1,1,Morning,8.5,9.2,746.95,1
345,20250324,1,1,Morning,8.5,9.4,763.19,1
346,20250325,1,1,Morning,8.5,9.0,730.71,1
347,20250326,1,1,Morning,8.5,9.2,746.95,1
348,20250327,1,1,Morning,8.5,9.2,746.95,1
349,20250328,1,1,Morning,5.0,5.6,454.66,1
350,20250330,1,1,Morning,8.5,8.5,690.12,0
351,20250331,1,1,Morning,8.5,8.5,690.12,0
352,20250401,1,1,Morning,8.5,9.2,746.95,1
353,20250402,1,1,Morning,8.5,8.6,698.23,0
354,20250403,1,1,Morning,8.5,8.4,682.00,0
355,20250406,1,1,Morning,8.5,9.4,763.19,1
356,20250407,1,1,Morning,8.5,8.1,657.64,0
357,20250408,1,1,Morning,8.5,8.6,698.23,0
358,20250409,1,1,Morning,8.5,9.4,763.19,1
359,20250410,1,1,Morning,8.5,8.0,649.52,0
360,20250411,1,1,Morning,5.0,4.8,389.71,0
361,20250414,1,1,Morning,8.5,9.4,763.19,1
362,20250415,1,1,Morning,8.5,9.4,763.19,1
363,20250416,1,1,Morning,8.5,8.5,690.12,0
364,20250417,1,1,Morning,8.5,8.1,657.64,0
365,20250420,1,1,Morning,8.5,8.9,722.59,1
366,20250421,1,1,Morning,8.5,8.7,706.35,0
367,20250422,1,1,Morning,8.5,8.1,657.64,0
368,20250423,1,1,Morning,8.5,9.0,730.71,1
369,20250424,1,1,Morning,8.5,9.0,730.71,1
370,20250425,1,1,Morning,5.0,5.0,405.95,0
371,20250427,1,1,Morning,8.5,8.9,722.59,1
372,20250428,1,1,Morning,8.5,9.1,738.83,1
373,20250429,1,1,Morning,8.5,8.8,714.47,1
374,20250430,1,1,Morning,8.5,9.0,730.71,1
375,20250504,1,1,Morning,8.5,8.9,722.59,1
376,20250505,1,1,Morning,8.5,8.5,690.12,0
377,20250506,1,1,Morning,8.5,9.0,730.71,1
378,20250507,1,1,Morning,8.5,8.5,690.12,0
379,20250508,1,1,Morning,8.5,8.1,657.64,0
380,20250509,1,1,Morning,5.0,5.4,438.43,1
381,20250511,1,1,Morning,8.5,8.0,649.52,0
382,20250512,1,1,Morning,8.5,9.4,763.19,1
383,20250513,1,1,Morning,8.5,9.4,763.19,1
384,20250514,1,1,Morning,8.5,8.2,665.76,0
385,20250515,1,1,Morning,8.5,9.4,763.19,1
386,20250518,1,1,Morning,8.5,8.1,657.64,0
387,20250519,1,1,Morning,8.5,9.5,771.31,1
388,20250520,1,1,Morning,8.5,8.8,714.47,1
389,20250521,1,1,Morning,8.5,8.6,698.23,0
390,20250522,1,1,Morning,8.5,9.5,771.31,1
391,20250525,1,1,Morning,8.5,8.0,649.52,0
392,20250526,1,1,Morning,8.5,8.3,673.88,0
393,20250527,1,1,Morning,8.5,8.0,649.52,0
394,20250528,1,1,Morning,8.5,9.3,755.07,1
395,20250529,1,1,Morning,8.5,8.3,673.88,0
396,20250530,1,1,Morning,5.0,4.5,365.36,0
397,20250601,1,1,Morning,8.5,9.2,746.95,1
398,20250603,1,1,Morning,8.5,8.7,706.35,0
399,20250604,1,1,Morning,8.5,8.2,665.76,0
400,20250605,1,1,Morning,8.5,9.2,746.95,1
401,20250608,1,1,Morning,8.5,8.6,698.23,0
402,20250609,1,1,Morning,8.5,8.7,706.35,0
403,20250610,1,1,Morning,8.5,8.4,682.00,0
404,20250611,1,1,Morning,8.5,8.4,682.00,0
405,20250612,1,1,Morning,8.5,9.4,763.19,1
406,20250613,1,1,Morning,5.0,4.5,365.36,0
407,20250615,1,1,Morning,8.5,8.0,649.52,0
408,20250616,1,1,Morning,8.5,8.0,649.52,0
409,20250617,1,1,Morning,8.5,9.4,763.19,1
410,20250618,1,1,Morning,8.5,9.3,755.07,1
411,20250619,1,1,Morning,8.5,8.8,714.47,1
412,20250620,1,1,Morning,5.0,5.3,430.31,1
413,20250622,1,1,Morning,8.5,8.7,706.35,0
414,20250623,1,1,Morning,8.5,9.2,746.95,1
415,20250624,1,1,Morning,8.5,9.2,746.95,1
416,20250625,1,1,Morning,8.5,9.5,771.31,1
417,20250626,1,1,Morning,8.5,8.5,690.12,0
418,20250627,1,1,Morning,5.0,5.1,414.07,0
419,20250629,1,1,Morning,8.5,9.4,763.19,1
420,20250630,1,1,Morning,8.5,8.1,657.64,0
421,20250701,1,1,Morning,8.5,8.2,665.76,0
422,20250702,1,1,Morning,8.5,8.4,682.00,0
423,20250703,1,1,Morning,8.5,8.5,690.12,0
424,20250704,1,1,Morning,5.0,5.5,446.55,1
425,20250706,1,1,Morning,8.5,9.1,738.83,1
426,20250707,1,1,Morning,8.5,8.1,657.64,0
427,20250708,1,1,Morning,8.5,8.8,714.47,1
428,20250709,1,1,Morning,8.5,8.6,698.23,0
429,20250710,1,1,Morning,8.5,8.2,665.76,0
430,20250711,1,1,Morning,5.0,5.0,405.95,0
431,20250713,1,1,Morning,8.5,8.0,649.52,0
432,20250714,1,1,Morning,8.5,8.4,682.00,0
433,20250715,1,1,Morning,8.5,9.5,771.31,1
434,20250716,1,1,Morning,8.5,8.5,690.12,0
435,20250717,1,1,Morning,8.5,8.8,714.47,1
436,20250720,1,1,Morning,8.5,9.3,755.07,1
437,20250721,1,1,Morning,8.5,8.8,714.47,1
438,20250722,1,1,Morning,8.5,8.6,698.23,0
439,20250723,1,1,Morning,8.5,9.4,763.19,1
440,20250724,1,1,Morning,8.5,8.8,714.47,1
441,20250727,1,1,Morning,8.5,8.2,665.76,0
442,20250728,1,1,Morning,8.5,8.6,698.23,0
443,20250729,1,1,Morning,8.5,9.2,746.95,1
444,20250730,1,1,Morning,8.5,9.0,730.71,1
445,20250731,1,1,Morning,8.5,8.9,722.59,1
446,20250803,1,1,Morning,8.5,8.9,722.59,1
447,20250804,1,1,Morning,8.5,9.3,755.07,1
448,20250805,1,1,Morning,8.5,8.8,714.47,1
449,20250806,1,1,Morning,8.5,9.1,738.83,1
450,20250807,1,1,Morning,8.5,8.8,714.47,1
451,20250810,1,1,Morning,8.5,9.4,763.19,1
452,20250811,1,1,Morning,8.5,8.3,673.88,0
453,20250812,1,1,Morning,8.5,8.7,706.35,0
454,20250813,1,1,Morning,8.5,8.5,690.12,0
455,20250814,1,1,Morning,8.5,8.2,665.76,0
456,20250815,1,1,Morning,5.0,5.6,454.66,1
457,20250817,1,1,Morning,8.5,8.9,722.59,1
458,20250818,1,1,Morning,8.5,8.4,682.00,0
459,20250819,1,1,Morning,8.5,8.6,698.23,0
460,20250820,1,1,Morning,8.5,8.3,673.88,0
461,20250821,1,1,Morning,8.5,8.4,682.00,0
462,20250824,1,1,Morning,8.5,9.3,755.07,1
463,20250825,1,1,Morning,8.5,8.2,665.76,0
464,20250826,1,1,Morning,8.5,9.1,738.83,1
465,20250827,1,1,Morning,8.5,8.5,690.12,0
466,20250828,1,1,Morning,8.5,9.4,763.19,1
467,20250831,1,1,Morning,8.5,8.7,706.35,0
468,20250901,1,1,Morning,8.5,8.6,698.23,0
469,20250902,1,1,Morning,8.5,8.4,682.00,0
470,20250903,1,1,Morning,8.5,8.6,698.23,0
471,20250904,1,1,Morning,8.5,8.3,673.88,0
472,20250905,1,1,Morning,5.0,5.3,430.31,1
473,20250907,1,1,Morning,8.5,8.5,690.12,0
474,20250908,1,1,Morning,8.5,8.3,673.88,0
475,20250909,1,1,Morning,8.5,9.1,738.83,1
476,20250910,1,1,Morning,8.5,8.3,673.88,0
477,20250911,1,1,Morning,8.5,8.9,722.59,1
478,20250912,1,1,Morning,5.0,4.8,389.71,0
479,20250914,1,1,Morning,8.5,9.4,763.19,1
480,20250915,1,1,Morning,8.5,9.5,771.31,1
481,20250916,1,1,Morning,8.5,8.9,722.59,1
482,20250917,1,1,Morning,8.5,8.7,706.35,0
483,20250918,1,1,Morning,8.5,9.0,730.71,1
484,20250919,1,1,Morning,5.0,5.6,454.66,1
485,20250921,1,1,Morning,8.5,9.2,746.95,1
486,20250922,1,1,Morning,8.5,8.9,722.59,1
487,20250925,1,1,Morning,8.5,8.2,665.76,0
488,20250926,1,1,Morning,5.0,5.6,454.66,1
489,20250928,1,1,Morning,8.5,8.2,665.76,0
490,20250929,1,1,Morning,8.5,8.5,690.12,0
491,20250930,1,1,Morning,8.5,8.4,682.00,0
492,20251001,1,1,Morning,8.5,9.3,755.07,1
493,20251005,1,1,Morning,8.5,9.4,763.19,1
494,20251006,1,1,Morning,8.5,9.1,738.83,1
495,20251008,1,1,Morning,8.5,8.9,722.59,1
496,20251009,1,1,Morning,8.5,8.7,706.35,0
