year,month,category,units_sold,net_revenue,gross_margin,margin_pct
2025,4,Health & Beauty,28481,645355.08,217889.21,33.76
2025,6,Beverages,106330,1215502.97,322960.18,26.57
2025,12,Produce,196053,1652855.70,501052.01,30.31
2024,10,Pantry,97517,1246141.23,363155.10,29.14
2025,11,Beverages,103750,1200806.23,315959.50,26.31
2025,4,Frozen,66331,1054803.65,299226.00,28.37
2025,7,Pantry,105712,1329563.07,385753.31,29.01
2025,1,Dairy,206918,1715208.95,478781.03,27.91
2025,7,Wine & Spirits,15469,504804.83,144772.12,28.68
2025,8,Household,44038,840888.06,234308.25,27.86
2024,3,Pantry,110002,1392647.96,408505.48,29.33
2024,11,Frozen,59118,933228.70,266620.74,28.57
2024,11,Household,42518,821982.03,227521.76,27.68
2024,2,Meat & Fish,50077,2076454.08,681866.01,32.84
2025,1,Bakery,161378,1807238.86,523797.38,28.98
2025,12,Bakery,151991,1694281.83,492690.70,29.08
2025,9,Snacks,108218,619136.44,182172.40,29.42
2024,10,Health & Beauty,24989,551264.80,183245.37,33.24
2024,7,Beverages,108880,1255142.57,330172.43,26.31
2025,2,Snacks,106528,606071.89,177375.61,29.27
2024,6,Bakery,146845,1626106.14,471694.18,29.01
2025,12,Household,44459,860512.08,240299.47,27.93
2024,10,Frozen,58663,923940.47,263030.85,28.47
2025,6,Household,44509,851835.73,237813.53,27.92
2024,12,Produce,191191,1615624.19,493030.70,30.52
2024,6,Snacks,114224,648726.78,190791.68,29.41
2025,9,Health & Beauty,23719,534072.51,179345.75,33.58
2025,2,Beverages,105365,1226206.73,324799.45,26.49
2024,7,Household,47270,901139.28,251412.01,27.90
2025,6,Wine & Spirits,14877,482042.69,141149.58,29.28
2025,3,Meat & Fish,50271,2080248.73,690100.87,33.17
2024,6,Produce,187120,1580473.51,482494.16,30.53
2024,8,Meat & Fish,51312,2100194.10,691360.95,32.92
2024,4,Wine & Spirits,15157,493366.22,144327.89,29.25
2025,2,Bakery,139553,1575569.47,460770.15,29.24
2025,3,Bakery,148276,1626220.39,468248.39,28.79
2025,10,Dairy,206043,1673901.32,467328.61,27.92
2024,5,Frozen,64185,1007776.71,284572.58,28.24
2024,5,Health & Beauty,28132,620168.12,207807.43,33.51
2025,11,Bakery,145734,1609215.92,463645.99,28.81
2024,6,Health & Beauty,25911,574154.63,192420.83,33.51
2025,9,Beverages,103963,1193418.96,315819.65,26.46
2025,6,Produce,187379,1580073.94,481230.08,30.46
2024,3,Wine & Spirits,15602,508058.24,148528.52,29.23
2025,8,Dairy,196752,1622166.44,456621.96,28.15
2024,12,Health & Beauty,26215,576711.82,192992.76,33.46
2024,3,Beverages,114637,1326371.11,346474.89,26.12
2025,12,Pantry,107593,1326677.46,388174.94,29.26
2025,10,Household,45652,872778.39,240719.17,27.58
2024,9,Beverages,106884,1222118.69,322350.72,26.38
2025,4,Bakery,159827,1771609.58,513504.08,28.99
2024,8,Produce,193817,1612750.92,487806.39,30.25
2025,9,Meat & Fish,47994,1968912.40,647295.67,32.88
2024,6,Meat & Fish,47709,1977727.28,657432.68,33.24
2024,11,Pantry,103613,1310396.36,379265.63,28.94
2024,9,Frozen,62568,975186.65,278108.09,28.52
2024,9,Dairy,197758,1633868.91,451746.94,27.65
2025,4,Pantry,112917,1400451.44,409023.74,29.21
2025,5,Wine & Spirits,15019,485640.42,142815.35,29.41
2024,11,Snacks,113091,639676.96,186767.60,29.20
2025,12,Wine & Spirits,15381,500246.07,145479.84,29.08
2025,8,Pantry,101675,1317771.79,385574.91,29.26
2024,4,Frozen,63298,1000861.78,284022.51,28.38
2025,8,Produce,195828,1662835.43,504370.00,30.33
2024,12,Meat & Fish,50592,2082950.54,687814.58,33.02
2025,10,Bakery,161802,1808132.70,525646.74,29.07
2024,9,Pantry,101193,1294938.77,376933.27,29.11
2024,5,Wine & Spirits,15895,519788.46,151350.05,29.12
2024,10,Bakery,152133,1675653.50,482082.48,28.77
2024,11,Health & Beauty,24798,553703.12,186098.02,33.61
2025,3,Frozen,59402,931365.35,265145.94,28.47
2024,5,Household,43039,795798.65,220876.63,27.76
2024,2,Health & Beauty,24617,539172.69,181778.10,33.71
2024,2,Beverages,102637,1173648.47,309938.43,26.41
2024,1,Bakery,153995,1708518.48,492610.60,28.83
2024,8,Bakery,159263,1765929.56,512135.74,29.00
2025,3,Snacks,104382,586738.22,170821.11,29.11
2024,4,Dairy,191773,1572007.23,439798.48,27.98
2025,10,Beverages,112064,1300623.96,342891.85,26.36
2025,5,Dairy,187814,1539550.53,429254.63,27.88
2025,4,Snacks,127222,727403.39,214974.28,29.55
2024,9,Snacks,117659,673524.22,200019.25,29.70
2024,8,Dairy,192952,1566594.81,438239.79,27.97
2025,1,Wine & Spirits,15967,518041.38,150939.85,29.14
2025,9,Frozen,58790,929533.70,262597.76,28.25
2024,4,Beverages,102743,1174938.39,309959.42,26.38
2024,3,Health & Beauty,25904,586409.94,197588.81,33.69
2025,6,Pantry,102370,1304892.35,380339.94,29.15
2024,8,Frozen,64510,1022467.82,290068.63,28.37
2024,9,Health & Beauty,26824,595380.54,197499.61,33.17
2025,1,Pantry,106512,1349352.79,393907.31,29.19
2025,10,Frozen,68382,1069331.37,306086.65,28.62
2025,8,Frozen,64072,1004458.22,284156.20,28.29
2024,6,Household,41072,779744.94,215893.63,27.69
2024,9,Meat & Fish,51103,2092741.29,685211.46,32.74
2024,2,Snacks,111184,641984.14,188925.97,29.43
2024,4,Snacks,111987,640355.72,186960.57,29.20
2024,9,Household,44134,840314.67,236446.36,28.14
2024,7,Dairy,202185,1673354.11,466884.24,27.90
2025,4,Wine & Spirits,15879,517602.30,149194.47,28.82
2025,6,Bakery,155671,1755516.54,512699.11,29.21
2024,5,Produce,196367,1661140.44,501035.60,30.16
2025,5,Snacks,109784,629595.43,184651.32,29.33
2025,10,Wine & Spirits,15800,513575.20,150208.28,29.25
2025,3,Household,42213,805046.32,223437.50,27.75
2025,11,Meat & Fish,49928,2043969.04,670394.86,32.80
2024,1,Wine & Spirits,14129,461479.98,133533.17,28.94
2025,1,Produce,199078,1677899.38,507501.72,30.25
2025,6,Dairy,193412,1585161.92,440544.30,27.79
2025,2,Dairy,176597,1465056.76,407790.84,27.83
2024,6,Beverages,106534,1228482.68,324015.69,26.38
2025,2,Health & Beauty,24022,531339.72,176951.13,33.30
2024,9,Bakery,156035,1729043.49,503762.07,29.14
2025,2,Produce,180735,1520073.79,460573.48,30.30
2025,7,Household,46100,876834.21,242794.04,27.69
2025,2,Meat & Fish,45877,1897471.31,624865.13,32.93
2025,11,Produce,189009,1576199.26,479216.59,30.40
2025,12,Frozen,60854,961613.19,274752.55,28.57
2025,1,Beverages,116250,1361463.47,357585.51,26.26
2024,2,Dairy,188612,1557046.95,432510.59,27.78
2024,10,Household,41656,797655.09,222254.81,27.86
2025,4,Produce,203647,1720300.84,518225.46,30.12
2025,5,Meat & Fish,50630,2078923.30,688955.59,33.14
2024,4,Health & Beauty,24369,538374.11,180003.27,33.43
2024,11,Dairy,184944,1547212.17,426794.58,27.58
2024,2,Household,43571,830514.22,231947.16,27.93
2025,12,Dairy,202902,1678112.21,469254.61,27.96
2025,6,Health & Beauty,25322,560952.52,188857.35,33.67
2025,3,Beverages,110317,1268994.14,333906.37,26.31
2025,7,Frozen,63279,991979.53,282904.03,28.52
2025,4,Meat & Fish,52618,2136160.67,706231.91,33.06
2024,7,Snacks,118005,673777.25,199166.32,29.56
2024,1,Dairy,192328,1595008.81,445046.25,27.90
2024,1,Beverages,110813,1282968.29,338382.55,26.37
2025,8,Wine & Spirits,15135,491115.09,142630.72,29.04
2024,7,Meat & Fish,53895,2228323.90,737224.57,33.08
2025,9,Household,43080,836139.84,233058.89,27.87
2025,8,Bakery,162614,1795811.85,520279.92,28.97
2025,10,Health & Beauty,26223,581525.73,195442.34,33.61
2024,2,Produce,185110,1564283.21,473067.93,30.24
2025,5,Health & Beauty,24361,517013.93,173526.01,33.56
2024,6,Pantry,100720,1248830.54,363378.00,29.10
2025,7,Snacks,120150,683839.99,201228.58,29.43
2024,3,Frozen,67779,1062440.34,302156.98,28.44
2024,3,Bakery,166408,1837630.64,530782.06,28.88
2024,5,Pantry,111448,1384734.01,401754.66,29.01
2025,2,Pantry,96965,1273281.42,371425.47,29.17
2025,1,Household,47296,909660.98,254582.11,27.99
2024,10,Wine & Spirits,14544,472582.03,138909.01,29.39
2025,1,Frozen,63998,1014332.81,289780.57,28.57
2024,5,Bakery,158413,1740880.38,506074.28,29.07
2024,2,Bakery,142349,1573021.50,451790.70,28.72
2024,12,Wine & Spirits,15349,498507.72,144584.53,29.00
2024,9,Produce,187563,1603273.53,484130.79,30.20
2025,7,Dairy,188773,1561453.95,432063.11,27.67
2025,5,Frozen,62224,986502.44,282402.88,28.63
2025,3,Pantry,106576,1349190.65,391901.34,29.05
2024,8,Beverages,114773,1316052.46,346312.52,26.31
2024,7,Bakery,159191,1787600.07,525438.25,29.39
2025,10,Pantry,112188,1420501.57,414729.87,29.20
2025,11,Dairy,193183,1595771.05,447775.91,28.06
2025,8,Health & Beauty,25608,557842.37,186886.97,33.50
2025,7,Health & Beauty,27575,599112.20,200219.71,33.42
2024,2,Frozen,58299,918798.81,261631.62,28.48
2025,12,Health & Beauty,26410,586755.01,195801.65,33.37
2025,5,Pantry,102361,1281190.42,370874.90,28.95
2024,7,Pantry,103133,1280466.09,372404.31,29.08
2024,5,Dairy,203530,1697293.95,470742.03,27.73
2025,7,Beverages,113409,1307922.59,343284.15,26.25
2024,12,Household,43885,839400.08,233579.08,27.83
2024,11,Wine & Spirits,14949,488093.05,141526.16,29.00
2024,4,Pantry,102063,1273607.50,372216.62,29.23
2025,9,Pantry,99591,1288487.23,375117.92,29.11
2024,1,Frozen,63911,1008509.33,286706.03,28.43
2024,2,Pantry,103521,1336906.31,388455.06,29.06
2024,12,Bakery,156808,1718792.79,492926.09,28.68
2024,5,Snacks,122890,704190.35,208953.90,29.67
2024,1,Health & Beauty,27324,613684.31,205836.38,33.54
2024,6,Wine & Spirits,14717,480097.75,139743.78,29.11
2024,1,Snacks,117054,677357.57,198745.19,29.34
2024,8,Pantry,105319,1328142.98,383205.21,28.85
2025,9,Produce,185779,1568208.05,477478.61,30.45
2024,8,Wine & Spirits,15182,492470.57,143130.53,29.06
2025,2,Frozen,59190,929347.26,263783.87,28.38
2024,11,Produce,197561,1662449.15,502899.24,30.25
2025,3,Health & Beauty,25475,562042.73,189432.10,33.70
2025,1,Meat & Fish,54385,2246957.80,749290.03,33.35
2025,11,Health & Beauty,24087,534520.21,179216.62,33.53
2024,1,Household,43844,837824.43,232164.71,27.71
2024,11,Bakery,152052,1654554.52,472196.64,28.54
2025,5,Bakery,154215,1710190.82,492935.51,28.82
2025,5,Household,42218,791787.55,221238.28,27.94
2024,4,Meat & Fish,47508,1934594.75,639453.92,33.05
2025,7,Bakery,157013,1755518.18,513110.12,29.23
2025,6,Frozen,59965,947387.67,272693.44,28.78
2024,8,Snacks,114365,659455.59,193444.66,29.33
2025,11,Wine & Spirits,14155,460765.36,133774.81,29.03
2025,5,Beverages,107128,1237877.80,324498.09,26.21
2024,6,Dairy,191258,1576695.42,441230.46,27.98
2025,10,Produce,195719,1665922.00,504600.26,30.29
2024,9,Wine & Spirits,15363,500037.48,145161.95,29.03
2025,11,Snacks,110125,626446.57,183684.30,29.32
2024,10,Produce,183470,1552636.52,471302.28,30.35
2025,3,Wine & Spirits,14243,462983.01,135742.94,29.32
