year,month,month_name,store_key,store_name,city,district,net_revenue,gross_margin,labor_cost,labor_pct_of_revenue,contribution,num_transactions
2025,2,February ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,805036.92,235039.61,72928.49,9.06,162111.12,17172
2025,1,January  ,19,SuperChampion Ashdod,Ashdod,Southern,956804.96,282616.28,96157.98,10.05,186458.30,22161
2024,11,November ,18,SuperChampion Rehovot,Rehovot,Central,407159.59,118877.30,55778.32,13.70,63098.98,9613
2025,4,April    ,16,SuperChampion Petah Tikva,Petah Tikva,Central,941397.83,277845.42,93569.73,9.94,184275.69,21710
2024,6,June     ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,821093.21,244487.70,64140.17,7.81,180347.53,19417
2025,4,April    ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,185156.77,55275.92,94920.48,51.26,-39644.56,4645
2024,7,July     ,7,SuperChampion Malha,Jerusalem,Jerusalem,962960.86,287026.16,83436.84,8.66,203589.32,21884
2025,3,March    ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,381188.69,112399.61,92007.06,24.14,20392.55,9097
2024,11,November ,7,SuperChampion Malha,Jerusalem,Jerusalem,842605.72,249251.40,77471.18,9.19,171780.22,20160
2024,9,September,18,SuperChampion Rehovot,Rehovot,Central,380515.92,110234.82,60031.57,15.78,50203.25,8901
2024,1,January  ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,186271.18,54805.65,55557.29,29.83,-751.64,4459
2025,3,March    ,7,SuperChampion Malha,Jerusalem,Jerusalem,946165.27,275907.18,93041.41,9.83,182865.77,20772
2024,5,May      ,18,SuperChampion Rehovot,Rehovot,Central,388389.09,114556.85,55933.36,14.40,58623.49,9361
2025,5,May      ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,178421.75,52423.93,90192.94,50.55,-37769.01,4435
2025,4,April    ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,1014770.35,302675.35,78107.28,7.70,224568.07,22543
2025,9,September,10,SuperChampion Grand Canyon,Haifa,Haifa,939149.41,278227.11,66157.31,7.04,212069.80,21140
2025,1,January  ,7,SuperChampion Malha,Jerusalem,Jerusalem,971590.45,289000.67,98180.76,10.11,190819.91,21880
2024,11,November ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,354435.04,103727.29,72515.88,20.46,31211.41,8462
2024,11,November ,16,SuperChampion Petah Tikva,Petah Tikva,Central,922091.26,272647.92,89736.24,9.73,182911.68,21149
2025,2,February ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,176582.35,52150.06,72253.24,40.92,-20103.18,4424
2025,6,June     ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,393708.65,116977.55,71215.71,18.09,45761.84,8864
2025,6,June     ,14,SuperChampion Kfar Saba,Kfar Saba,Central,371015.61,110381.66,101036.72,27.23,9344.94,8726
2025,7,July     ,22,SuperChampion Nazareth,Nazareth,Northern,419211.70,123553.69,104201.50,24.86,19352.19,9223
2024,5,May      ,13,SuperChampion Ir Yamim,Netanya,Central,434052.09,126853.19,120013.26,27.65,6839.93,10492
2025,1,January  ,18,SuperChampion Rehovot,Rehovot,Central,408104.90,122569.07,61340.81,15.03,61228.26,9443
2024,5,May      ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,911196.25,268162.24,38512.25,4.23,229649.99,20549
2025,2,February ,16,SuperChampion Petah Tikva,Petah Tikva,Central,847838.37,254475.82,87174.12,10.28,167301.70,18834
2024,10,October  ,23,SuperChampion Tiberias,Tiberias,Northern,418826.78,124018.95,84030.20,20.06,39988.75,9356
2025,5,May      ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,422217.98,123058.02,82967.46,19.65,40090.56,9773
2024,3,March    ,16,SuperChampion Petah Tikva,Petah Tikva,Central,1005949.11,298469.32,70209.60,6.98,228259.72,23440
2024,8,August   ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,397581.26,116283.79,104488.15,26.28,11795.64,9284
2024,8,August   ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,405782.39,118423.27,50459.27,12.44,67964.00,9525
2024,9,September,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,924206.29,273347.59,63264.96,6.85,210082.63,21442
2025,5,May      ,7,SuperChampion Malha,Jerusalem,Jerusalem,905861.43,264951.32,96449.60,10.65,168501.72,21588
2024,10,October  ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,388804.90,116214.65,104438.04,26.86,11776.61,8576
2024,1,January  ,5,SuperChampion Holon,Holon,Tel Aviv,399608.39,117911.17,64044.01,16.03,53867.16,9329
2025,1,January  ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,970577.97,287468.96,83854.70,8.64,203614.26,21957
2025,4,April    ,10,SuperChampion Grand Canyon,Haifa,Haifa,1047149.58,308856.96,48531.66,4.63,260325.30,24598
2024,8,August   ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,454603.98,134444.69,74178.18,16.32,60266.51,10318
2025,6,June     ,11,SuperChampion Hadar,Haifa,Haifa,416066.32,123900.38,75562.56,18.16,48337.82,9249
2025,11,November ,24,SuperChampion Afula,Afula,Northern,375040.04,112400.22,89012.10,23.73,23388.12,8867
2025,10,October  ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,953105.71,283222.91,79220.90,8.31,204002.01,21347
2025,1,January  ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,438974.39,129812.75,116664.43,26.58,13148.32,10122
2025,3,March    ,15,SuperChampion Raanana,Raanana,Central,355053.17,104713.45,81891.02,23.06,22822.43,8178
2024,1,January  ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,959462.65,287209.33,40402.26,4.21,246807.07,21087
2025,7,July     ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,210995.52,62955.54,102935.23,48.79,-39979.69,5108
2024,3,March    ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,972977.71,283838.43,57754.57,5.94,226083.86,22034
2024,4,April    ,21,SuperChampion Eilat,Eilat,Southern,417211.66,123617.50,54904.06,13.16,68713.44,9681
2024,12,December ,19,SuperChampion Ashdod,Ashdod,Southern,905905.25,269036.19,98911.57,10.92,170124.62,19948
2024,10,October  ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,852420.71,252314.39,66901.41,7.85,185412.98,19028
2024,4,April    ,22,SuperChampion Nazareth,Nazareth,Northern,399808.50,118149.10,70465.09,17.62,47684.01,9531
2024,7,July     ,15,SuperChampion Raanana,Raanana,Central,417575.34,121925.14,59283.00,14.20,62642.14,9608
2024,8,August   ,22,SuperChampion Nazareth,Nazareth,Northern,422823.80,126152.61,74340.47,17.58,51812.14,9128
2024,9,September,7,SuperChampion Malha,Jerusalem,Jerusalem,963040.19,282821.39,84302.28,8.75,198519.11,22547
2025,12,December ,16,SuperChampion Petah Tikva,Petah Tikva,Central,931556.76,275710.08,95935.21,10.30,179774.87,20839
2025,9,September,24,SuperChampion Afula,Afula,Northern,405079.19,119765.21,88543.98,21.86,31221.23,9443
2025,7,July     ,21,SuperChampion Eilat,Eilat,Southern,420022.12,123632.50,86933.73,20.70,36698.77,9901
2024,5,May      ,15,SuperChampion Raanana,Raanana,Central,436285.77,127981.57,57108.34,13.09,70873.23,10159
2025,5,May      ,21,SuperChampion Eilat,Eilat,Southern,427395.83,127397.00,75489.06,17.66,51907.94,9932
2024,5,May      ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,425524.44,124503.34,71153.13,16.72,53350.21,10431
2024,2,February ,16,SuperChampion Petah Tikva,Petah Tikva,Central,860192.40,255871.75,67706.70,7.87,188165.05,18609
2024,1,January  ,15,SuperChampion Raanana,Raanana,Central,419557.57,122034.45,55915.87,13.33,66118.58,9723
2024,2,February ,18,SuperChampion Rehovot,Rehovot,Central,403415.91,119613.80,48907.29,12.12,70706.51,9123
2025,9,September,22,SuperChampion Nazareth,Nazareth,Northern,405014.84,119352.56,96933.63,23.93,22418.93,8996
2025,9,September,21,SuperChampion Eilat,Eilat,Southern,410549.93,121903.75,81162.38,19.77,40741.37,9644
2024,7,July     ,21,SuperChampion Eilat,Eilat,Southern,438390.59,130185.04,65062.17,14.84,65122.87,10038
2024,6,June     ,16,SuperChampion Petah Tikva,Petah Tikva,Central,890123.32,262676.99,83276.09,9.36,179400.90,20323
2024,9,September,8,SuperChampion Talpiot,Jerusalem,Jerusalem,386973.96,114679.00,54198.17,14.01,60480.83,8829
2025,5,May      ,11,SuperChampion Hadar,Haifa,Haifa,440384.31,128628.26,69773.69,15.84,58854.57,10149
2025,3,March    ,5,SuperChampion Holon,Holon,Tel Aviv,363553.18,105901.60,71952.70,19.79,33948.90,8394
2025,11,November ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,378354.20,111603.41,112558.65,29.75,-955.24,8935
2025,9,September,12,SuperChampion Krayot,Kiryat Bialik,Haifa,375775.13,110239.90,110756.22,29.47,-516.32,9311
2025,4,April    ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,426973.55,124674.85,69531.25,16.28,55143.60,10112
2025,11,November ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,911242.24,270441.34,88951.96,9.76,181489.38,20677
2024,10,October  ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,366222.18,106432.31,69752.20,19.05,36680.11,8432
2025,2,February ,10,SuperChampion Grand Canyon,Haifa,Haifa,913420.22,273009.36,44946.18,4.92,228063.18,20583
2025,12,December ,24,SuperChampion Afula,Afula,Northern,392509.92,113760.16,87750.20,22.36,26009.96,9329
2024,1,January  ,13,SuperChampion Ir Yamim,Netanya,Central,391475.40,115324.99,118077.23,30.16,-2752.24,9118
2024,7,July     ,24,SuperChampion Afula,Afula,Northern,414115.77,121907.65,60277.10,14.56,61630.55,9674
2024,2,February ,23,SuperChampion Tiberias,Tiberias,Northern,395229.85,116702.24,72887.69,18.44,43814.55,9216
2025,10,October  ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,934634.06,279064.01,76291.06,8.16,202772.95,20902
2024,4,April    ,10,SuperChampion Grand Canyon,Haifa,Haifa,963381.96,281412.23,20382.08,2.12,261030.15,22542
2024,9,September,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,393248.59,116335.06,64277.95,16.35,52057.11,8919
2025,2,February ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,388749.71,114195.83,83544.48,21.49,30651.35,9099
2025,6,June     ,15,SuperChampion Raanana,Raanana,Central,402449.93,117746.86,82339.62,20.46,35407.24,9393
2024,1,January  ,21,SuperChampion Eilat,Eilat,Southern,430470.24,126550.65,52708.84,12.24,73841.81,10150
2024,10,October  ,11,SuperChampion Hadar,Haifa,Haifa,444104.98,131390.99,48989.42,11.03,82401.57,9770
2025,4,April    ,22,SuperChampion Nazareth,Nazareth,Northern,429346.11,126060.89,91962.28,21.42,34098.61,10211
2024,9,September,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,373236.74,108941.52,77295.05,20.71,31646.47,8611
2025,8,August   ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,418036.92,122552.81,105550.35,25.25,17002.46,9900
2025,4,April    ,13,SuperChampion Ir Yamim,Netanya,Central,418116.73,123281.07,116137.16,27.78,7143.91,9419
2024,10,October  ,7,SuperChampion Malha,Jerusalem,Jerusalem,809383.57,240000.77,77313.88,9.55,162686.89,18428
2025,1,January  ,21,SuperChampion Eilat,Eilat,Southern,446211.46,131356.52,74051.58,16.60,57304.94,10276
2024,11,November ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,380444.20,109928.44,65919.13,17.33,44009.31,8397
2024,7,July     ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,426000.19,126603.78,78323.78,18.39,48280.00,9508
2024,8,August   ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,925602.71,276421.58,62430.11,6.74,213991.47,20786
2024,1,January  ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,905655.80,269517.03,71591.15,7.90,197925.88,20348
2025,3,March    ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,385149.67,114524.89,69449.92,18.03,45074.97,9009
2025,11,November ,7,SuperChampion Malha,Jerusalem,Jerusalem,860824.78,249418.80,103577.18,12.03,145841.62,19669
2025,6,June     ,10,SuperChampion Grand Canyon,Haifa,Haifa,937221.92,279147.29,66523.95,7.10,212623.34,21422
2024,10,October  ,24,SuperChampion Afula,Afula,Northern,378285.83,112594.43,57340.57,15.16,55253.86,8879
2025,8,August   ,22,SuperChampion Nazareth,Nazareth,Northern,413342.83,121981.90,92778.67,22.45,29203.23,9507
2024,7,July     ,23,SuperChampion Tiberias,Tiberias,Northern,462897.75,138038.86,93375.72,20.17,44663.14,10205
2024,4,April    ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,377718.49,113733.68,52258.99,13.84,61474.69,8511
2025,3,March    ,18,SuperChampion Rehovot,Rehovot,Central,399427.43,118523.06,58676.85,14.69,59846.21,9367
2024,11,November ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,377298.99,111394.73,104429.87,27.68,6964.86,8515
2024,2,February ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,400755.99,119228.60,32396.32,8.08,86832.28,8813
2025,1,January  ,22,SuperChampion Nazareth,Nazareth,Northern,411980.90,120610.34,94274.06,22.88,26336.28,9979
2024,2,February ,5,SuperChampion Holon,Holon,Tel Aviv,384605.94,113919.43,58771.53,15.28,55147.90,9057
2024,6,June     ,18,SuperChampion Rehovot,Rehovot,Central,360030.83,104640.90,56855.85,15.79,47785.05,8290
2025,8,August   ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,952326.54,282309.01,92008.66,9.66,190300.35,22026
2024,8,August   ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,420636.31,123122.82,71251.55,16.94,51871.27,9555
2025,3,March    ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,813889.62,242535.75,81884.96,10.06,160650.79,19017
2025,2,February ,15,SuperChampion Raanana,Raanana,Central,359099.70,105059.72,75008.74,20.89,30050.98,8780
2024,3,March    ,21,SuperChampion Eilat,Eilat,Southern,436430.62,128125.28,52803.39,12.10,75321.89,9950
2024,10,October  ,14,SuperChampion Kfar Saba,Kfar Saba,Central,375744.87,110931.88,91760.40,24.42,19171.48,8436
2024,10,October  ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,403407.30,119556.63,65926.23,16.34,53630.40,9060
2024,12,December ,21,SuperChampion Eilat,Eilat,Southern,454074.79,133149.11,68246.74,15.03,64902.37,10415
2025,6,June     ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,408726.93,120258.81,100403.45,24.56,19855.36,9412
2024,7,July     ,19,SuperChampion Ashdod,Ashdod,Southern,968627.66,287276.90,85441.62,8.82,201835.28,22416
2024,12,December ,14,SuperChampion Kfar Saba,Kfar Saba,Central,382774.23,112301.78,108256.01,28.28,4045.77,8420
2025,5,May      ,24,SuperChampion Afula,Afula,Northern,416131.39,122099.02,82839.23,19.91,39259.79,9466
2024,7,July     ,18,SuperChampion Rehovot,Rehovot,Central,421965.99,125552.43,61576.01,14.59,63976.42,9837
2025,7,July     ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,975175.39,285901.83,97766.68,10.03,188135.15,22403
2024,3,March    ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,1007369.82,302516.82,66379.64,6.59,236137.18,21844
2024,8,August   ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,196721.17,58010.18,72886.24,37.05,-14876.06,4903
2025,8,August   ,21,SuperChampion Eilat,Eilat,Southern,435829.79,128451.09,77857.45,17.86,50593.64,10098
2024,2,February ,11,SuperChampion Hadar,Haifa,Haifa,440178.47,130546.40,44015.45,10.00,86530.95,10580
2024,4,April    ,24,SuperChampion Afula,Afula,Northern,369328.55,109551.37,58116.93,15.74,51434.44,8846
2024,10,October  ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,824993.21,245621.46,69463.19,8.42,176158.27,19411
2025,7,July     ,16,SuperChampion Petah Tikva,Petah Tikva,Central,934121.58,276063.80,102128.83,10.93,173934.97,20418
2025,2,February ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,368454.35,108761.46,100571.70,27.30,8189.76,8285
2025,10,October  ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,432167.38,127486.41,76836.76,17.78,50649.65,10552
2025,3,March    ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,910050.94,265771.76,83710.12,9.20,182061.64,20426
2024,10,October  ,10,SuperChampion Grand Canyon,Haifa,Haifa,905412.91,265132.55,33490.51,3.70,231642.04,20678
2025,7,July     ,13,SuperChampion Ir Yamim,Netanya,Central,406468.04,119906.43,125835.87,30.96,-5929.44,9250
2025,10,October  ,22,SuperChampion Nazareth,Nazareth,Northern,397813.90,116146.18,84066.70,21.13,32079.48,9228
2025,2,February ,13,SuperChampion Ir Yamim,Netanya,Central,354933.02,103713.53,107330.76,30.24,-3617.23,8173
2025,8,August   ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,387496.10,114185.54,66967.74,17.28,47217.80,8994
2024,7,July     ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,417528.86,123746.32,58620.82,14.04,65125.50,9375
2025,1,January  ,23,SuperChampion Tiberias,Tiberias,Northern,443498.49,131196.65,95818.29,21.61,35378.36,10297
2025,11,November ,21,SuperChampion Eilat,Eilat,Southern,429787.40,126450.31,82297.15,19.15,44153.16,9814
2025,12,December ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,907717.34,271449.70,87757.14,9.67,183692.56,20591
2025,10,October  ,10,SuperChampion Grand Canyon,Haifa,Haifa,1059902.01,312596.77,57134.85,5.39,255461.92,24459
2025,4,April    ,21,SuperChampion Eilat,Eilat,Southern,435734.17,128337.21,79285.01,18.20,49052.20,9872
2025,5,May      ,13,SuperChampion Ir Yamim,Netanya,Central,407414.30,121794.29,110415.66,27.10,11378.63,8877
2024,8,August   ,14,SuperChampion Kfar Saba,Kfar Saba,Central,406180.29,119577.54,81594.24,20.09,37983.30,9276
2025,2,February ,7,SuperChampion Malha,Jerusalem,Jerusalem,858946.32,252524.29,84674.44,9.86,167849.85,19871
2024,3,March    ,22,SuperChampion Nazareth,Nazareth,Northern,401829.85,116361.50,63021.79,15.68,53339.71,9437
2024,11,November ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,363916.44,106828.09,65385.46,17.97,41442.63,8655
2025,10,October  ,12,SuperChampion Krayot,Kiryat Bialik,Haifa,417301.69,124295.46,94956.78,22.75,29338.68,9535
2025,1,January  ,24,SuperChampion Afula,Afula,Northern,441472.09,131692.59,74258.09,16.82,57434.50,10431
2024,12,December ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,896289.11,262357.21,75885.99,8.47,186471.22,20856
2025,2,February ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,894983.47,262873.93,71073.76,7.94,191800.17,20426
2024,12,December ,23,SuperChampion Tiberias,Tiberias,Northern,425617.74,125498.61,97204.43,22.84,28294.18,9828
2024,10,October  ,13,SuperChampion Ir Yamim,Netanya,Central,370709.15,108674.25,109786.25,29.62,-1112.00,8728
2025,10,October  ,14,SuperChampion Kfar Saba,Kfar Saba,Central,425461.37,125044.38,86837.00,20.41,38207.38,9735
2025,2,February ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,839825.03,248459.54,72556.09,8.64,175903.45,19240
2024,7,July     ,5,SuperChampion Holon,Holon,Tel Aviv,409340.40,121686.74,75683.30,18.49,46003.44,9404
2024,9,September,23,SuperChampion Tiberias,Tiberias,Northern,421130.26,123556.59,91567.61,21.74,31988.98,9668
2024,1,January  ,18,SuperChampion Rehovot,Rehovot,Central,381998.25,114165.00,55039.06,14.41,59125.94,9080
2025,12,December ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,420218.29,122919.00,69777.77,16.61,53141.23,9446
2025,5,May      ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,882521.20,264584.04,82747.73,9.38,181836.31,18854
2025,12,December ,14,SuperChampion Kfar Saba,Kfar Saba,Central,387149.25,113013.42,99655.09,25.74,13358.33,9110
2025,7,July     ,15,SuperChampion Raanana,Raanana,Central,422114.97,124247.72,87690.41,20.77,36557.31,9626
2025,5,May      ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,383069.80,111598.58,62473.91,16.31,49124.67,9061
2025,3,March    ,22,SuperChampion Nazareth,Nazareth,Northern,383353.73,112907.84,90190.30,23.53,22717.54,8736
2025,8,August   ,23,SuperChampion Tiberias,Tiberias,Northern,395103.06,114472.53,90087.93,22.80,24384.60,9543
2024,6,June     ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,374013.55,111169.70,71479.34,19.11,39690.36,8832
2025,12,December ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,431448.37,125876.38,88654.89,20.55,37221.49,9824
2024,1,January  ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,414937.51,121880.99,34358.08,8.28,87522.91,9465
2025,8,August   ,24,SuperChampion Afula,Afula,Northern,389770.60,115176.24,84017.72,21.56,31158.52,9398
2024,3,March    ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,462231.87,136326.09,68847.81,14.89,67478.28,10737
2024,10,October  ,22,SuperChampion Nazareth,Nazareth,Northern,378568.42,111408.50,79262.34,20.94,32146.16,8554
2025,11,November ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,399830.96,117429.17,89606.13,22.41,27823.04,9205
2024,1,January  ,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,434547.89,129327.39,67834.82,15.61,61492.57,9711
2025,9,September,4,SuperChampion Givatayim,Givatayim,Tel Aviv,382600.10,112651.16,69626.42,18.20,43024.74,9223
2024,7,July     ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,949947.36,286040.37,69799.73,7.35,216240.64,21675
2025,3,March    ,24,SuperChampion Afula,Afula,Northern,392031.32,115510.47,86819.03,22.15,28691.44,8940
2024,12,December ,22,SuperChampion Nazareth,Nazareth,Northern,399257.26,117361.67,97317.75,24.37,20043.92,9442
2024,8,August   ,18,SuperChampion Rehovot,Rehovot,Central,395548.02,115488.81,55965.09,14.15,59523.72,8974
2024,4,April    ,18,SuperChampion Rehovot,Rehovot,Central,398897.02,116142.69,50945.91,12.77,65196.78,9659
2025,1,January  ,15,SuperChampion Raanana,Raanana,Central,406694.83,121484.10,86201.64,21.20,35282.46,9601
2025,10,October  ,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,397651.82,118409.39,85876.02,21.60,32533.37,9200
2025,7,July     ,19,SuperChampion Ashdod,Ashdod,Southern,936975.96,277743.06,97561.12,10.41,180181.94,21852
2024,6,June     ,11,SuperChampion Hadar,Haifa,Haifa,392839.50,116921.34,44477.78,11.32,72443.56,9419
2024,8,August   ,11,SuperChampion Hadar,Haifa,Haifa,426778.21,126521.07,45653.07,10.70,80868.00,9592
2024,12,December ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,409347.24,122101.44,75079.70,18.34,47021.74,9506
2025,7,July     ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,400304.28,118803.28,74953.13,18.72,43850.15,9139
2025,10,October  ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,422335.95,123916.41,60230.24,14.26,63686.17,9721
2024,6,June     ,14,SuperChampion Kfar Saba,Kfar Saba,Central,351334.86,103968.96,82271.23,23.42,21697.73,8265
2024,3,March    ,13,SuperChampion Ir Yamim,Netanya,Central,396285.69,116583.47,117654.84,29.69,-1071.37,9376
2025,8,August   ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,955365.92,283633.68,83536.24,8.74,200097.44,21250
2025,12,December ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,386098.85,114379.96,70409.59,18.24,43970.37,9438
2024,5,May      ,11,SuperChampion Hadar,Haifa,Haifa,444804.52,131961.43,46267.73,10.40,85693.70,10570
2024,3,March    ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,396728.68,116707.80,49689.96,12.52,67017.84,9146
2024,11,November ,24,SuperChampion Afula,Afula,Northern,378247.82,109507.38,64787.31,17.13,44720.07,9287
2024,2,February ,13,SuperChampion Ir Yamim,Netanya,Central,377438.92,111116.94,111675.19,29.59,-558.25,8694
2024,12,December ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,188776.48,55253.99,86203.44,45.66,-30949.45,4396
2025,7,July     ,18,SuperChampion Rehovot,Rehovot,Central,413434.97,121933.64,71457.27,17.28,50476.37,9700
2025,4,April    ,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,421259.63,122887.23,61723.75,14.65,61163.48,9697
2025,7,July     ,7,SuperChampion Malha,Jerusalem,Jerusalem,927086.27,274991.05,110212.86,11.89,164778.19,21284
2025,5,May      ,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,914139.54,271290.60,82246.13,9.00,189044.47,21765
2025,3,March    ,13,SuperChampion Ir Yamim,Netanya,Central,405415.17,119611.35,118332.76,29.19,1278.59,8883
2024,2,February ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,190712.82,55176.61,57523.63,30.16,-2347.02,4522
2025,1,January  ,10,SuperChampion Grand Canyon,Haifa,Haifa,989222.46,291737.99,52496.91,5.31,239241.08,21963
2024,3,March    ,23,SuperChampion Tiberias,Tiberias,Northern,444057.48,131904.77,75994.02,17.11,55910.75,10747
