date_key,cal_date,day,month,year,quarter,day_of_week,iso_dow,day_name,month_name,week_of_year,is_weekend,is_holiday,holiday_name,is_holiday_eve
20240209,2024-02-09,9,2,2024,1,5,5,Friday,February,6,1,0,,0
20240210,2024-02-10,10,2,2024,1,6,6,Saturday,February,6,1,0,,0
20240211,2024-02-11,11,2,2024,1,0,7,Sunday,February,6,0,0,,0
20240212,2024-02-12,12,2,2024,1,1,1,Monday,February,7,0,0,,0
20240213,2024-02-13,13,2,2024,1,2,2,Tuesday,February,7,0,0,,0
20240214,2024-02-14,14,2,2024,1,3,3,Wednesday,February,7,0,0,,0
20240215,2024-02-15,15,2,2024,1,4,4,Thursday,February,7,0,0,,0
20240216,2024-02-16,16,2,2024,1,5,5,Friday,February,7,1,0,,0
20240217,2024-02-17,17,2,2024,1,6,6,Saturday,February,7,1,0,,0
20240218,2024-02-18,18,2,2024,1,0,7,Sunday,February,7,0,0,,0
20240219,2024-02-19,19,2,2024,1,1,1,Monday,February,8,0,0,,0
20240220,2024-02-20,20,2,2024,1,2,2,Tuesday,February,8,0,0,,0
20240221,2024-02-21,21,2,2024,1,3,3,Wednesday,February,8,0,0,,0
20240222,2024-02-22,22,2,2024,1,4,4,Thursday,February,8,0,0,,0
20240223,2024-02-23,23,2,2024,1,5,5,Friday,February,8,1,0,,0
20240224,2024-02-24,24,2,2024,1,6,6,Saturday,February,8,1,0,,0
20240225,2024-02-25,25,2,2024,1,0,7,Sunday,February,8,0,0,,0
20240226,2024-02-26,26,2,2024,1,1,1,Monday,February,9,0,0,,0
20240227,2024-02-27,27,2,2024,1,2,2,Tuesday,February,9,0,0,,0
20240228,2024-02-28,28,2,2024,1,3,3,Wednesday,February,9,0,0,,0
20240229,2024-02-29,29,2,2024,1,4,4,Thursday,February,9,0,0,,0
20240301,2024-03-01,1,3,2024,1,5,5,Friday,March,9,1,0,,0
20240302,2024-03-02,2,3,2024,1,6,6,Saturday,March,9,1,0,,0
20240303,2024-03-03,3,3,2024,1,0,7,Sunday,March,9,0,0,,0
20240304,2024-03-04,4,3,2024,1,1,1,Monday,March,10,0,0,,0
20240305,2024-03-05,5,3,2024,1,2,2,Tuesday,March,10,0,0,,0
20240306,2024-03-06,6,3,2024,1,3,3,Wednesday,March,10,0,0,,0
20240307,2024-03-07,7,3,2024,1,4,4,Thursday,March,10,0,0,,0
20240308,2024-03-08,8,3,2024,1,5,5,Friday,March,10,1,0,,0
20240309,2024-03-09,9,3,2024,1,6,6,Saturday,March,10,1,0,,0
20240310,2024-03-10,10,3,2024,1,0,7,Sunday,March,10,0,0,,0
20240311,2024-03-11,11,3,2024,1,1,1,Monday,March,11,0,0,,0
20240312,2024-03-12,12,3,2024,1,2,2,Tuesday,March,11,0,0,,0
20240313,2024-03-13,13,3,2024,1,3,3,Wednesday,March,11,0,0,,0
20240314,2024-03-14,14,3,2024,1,4,4,Thursday,March,11,0,0,,0
20240315,2024-03-15,15,3,2024,1,5,5,Friday,March,11,1,0,,0
20240316,2024-03-16,16,3,2024,1,6,6,Saturday,March,11,1,0,,0
20240317,2024-03-17,17,3,2024,1,0,7,Sunday,March,11,0,0,,0
20240318,2024-03-18,18,3,2024,1,1,1,Monday,March,12,0,0,,0
20240319,2024-03-19,19,3,2024,1,2,2,Tuesday,March,12,0,0,,0
20240320,2024-03-20,20,3,2024,1,3,3,Wednesday,March,12,0,0,,0
20240321,2024-03-21,21,3,2024,1,4,4,Thursday,March,12,0,0,,0
20240322,2024-03-22,22,3,2024,1,5,5,Friday,March,12,1,0,,0
20240323,2024-03-23,23,3,2024,1,6,6,Saturday,March,12,1,0,,1
20240324,2024-03-24,24,3,2024,1,0,7,Sunday,March,12,0,1,Purim,0
20240325,2024-03-25,25,3,2024,1,1,1,Monday,March,13,0,0,,0
20240326,2024-03-26,26,3,2024,1,2,2,Tuesday,March,13,0,0,,0
20240327,2024-03-27,27,3,2024,1,3,3,Wednesday,March,13,0,0,,0
20240328,2024-03-28,28,3,2024,1,4,4,Thursday,March,13,0,0,,0
20240329,2024-03-29,29,3,2024,1,5,5,Friday,March,13,1,0,,0
20240330,2024-03-30,30,3,2024,1,6,6,Saturday,March,13,1,0,,0
20240331,2024-03-31,31,3,2024,1,0,7,Sunday,March,13,0,0,,0
20240401,2024-04-01,1,4,2024,2,1,1,Monday,April,14,0,0,,0
20240402,2024-04-02,2,4,2024,2,2,2,Tuesday,April,14,0,0,,0
20240403,2024-04-03,3,4,2024,2,3,3,Wednesday,April,14,0,0,,0
20240404,2024-04-04,4,4,2024,2,4,4,Thursday,April,14,0,0,,0
20240405,2024-04-05,5,4,2024,2,5,5,Friday,April,14,1,0,,0
20240406,2024-04-06,6,4,2024,2,6,6,Saturday,April,14,1,0,,0
20240407,2024-04-07,7,4,2024,2,0,7,Sunday,April,14,0,0,,0
20240408,2024-04-08,8,4,2024,2,1,1,Monday,April,15,0,0,,0
20240409,2024-04-09,9,4,2024,2,2,2,Tuesday,April,15,0,0,,0
20240410,2024-04-10,10,4,2024,2,3,3,Wednesday,April,15,0,0,,0
20240411,2024-04-11,11,4,2024,2,4,4,Thursday,April,15,0,0,,0
20240412,2024-04-12,12,4,2024,2,5,5,Friday,April,15,1,0,,0
20240413,2024-04-13,13,4,2024,2,6,6,Saturday,April,15,1,0,,0
20240414,2024-04-14,14,4,2024,2,0,7,Sunday,April,15,0,0,,0
20240415,2024-04-15,15,4,2024,2,1,1,Monday,April,16,0,0,,0
20240416,2024-04-16,16,4,2024,2,2,2,Tuesday,April,16,0,0,,0
20240417,2024-04-17,17,4,2024,2,3,3,Wednesday,April,16,0,0,,0
20240418,2024-04-18,18,4,2024,2,4,4,Thursday,April,16,0,0,,0
20240419,2024-04-19,19,4,2024,2,5,5,Friday,April,16,1,0,,0
20240420,2024-04-20,20,4,2024,2,6,6,Saturday,April,16,1,0,,0
20240421,2024-04-21,21,4,2024,2,0,7,Sunday,April,16,0,0,,0
20240422,2024-04-22,22,4,2024,2,1,1,Monday,April,17,0,0,,1
20240423,2024-04-23,23,4,2024,2,2,2,Tuesday,April,17,0,1,Pesach (1st day),0
20240424,2024-04-24,24,4,2024,2,3,3,Wednesday,April,17,0,0,,0
20240425,2024-04-25,25,4,2024,2,4,4,Thursday,April,17,0,0,,0
20240426,2024-04-26,26,4,2024,2,5,5,Friday,April,17,1,0,,0
20240427,2024-04-27,27,4,2024,2,6,6,Saturday,April,17,1,0,,0
20240428,2024-04-28,28,4,2024,2,0,7,Sunday,April,17,0,0,,1
20240429,2024-04-29,29,4,2024,2,1,1,Monday,April,18,0,1,Pesach (7th day),0
20240430,2024-04-30,30,4,2024,2,2,2,Tuesday,April,18,0,0,,0
20240501,2024-05-01,1,5,2024,2,3,3,Wednesday,May,18,0,0,,0
20240502,2024-05-02,2,5,2024,2,4,4,Thursday,May,18,0,0,,0
20240503,2024-05-03,3,5,2024,2,5,5,Friday,May,18,1,0,,0
20240504,2024-05-04,4,5,2024,2,6,6,Saturday,May,18,1,0,,0
20240505,2024-05-05,5,5,2024,2,0,7,Sunday,May,18,0,0,,0
20240506,2024-05-06,6,5,2024,2,1,1,Monday,May,19,0,0,,0
20240507,2024-05-07,7,5,2024,2,2,2,Tuesday,May,19,0,0,,0
20240508,2024-05-08,8,5,2024,2,3,3,Wednesday,May,19,0,0,,0
20240509,2024-05-09,9,5,2024,2,4,4,Thursday,May,19,0,0,,0
20240510,2024-05-10,10,5,2024,2,5,5,Friday,May,19,1,0,,0
20240511,2024-05-11,11,5,2024,2,6,6,Saturday,May,19,1,0,,0
20240512,2024-05-12,12,5,2024,2,0,7,Sunday,May,19,0,0,,0
20240513,2024-05-13,13,5,2024,2,1,1,Monday,May,20,0,0,,1
20240514,2024-05-14,14,5,2024,2,2,2,Tuesday,May,20,0,1,Independence Day,0
20240515,2024-05-15,15,5,2024,2,3,3,Wednesday,May,20,0,0,,0
20240516,2024-05-16,16,5,2024,2,4,4,Thursday,May,20,0,0,,0
20240517,2024-05-17,17,5,2024,2,5,5,Friday,May,20,1,0,,0
20240518,2024-05-18,18,5,2024,2,6,6,Saturday,May,20,1,0,,0
20240519,2024-05-19,19,5,2024,2,0,7,Sunday,May,20,0,0,,0
20240520,2024-05-20,20,5,2024,2,1,1,Monday,May,21,0,0,,0
20240521,2024-05-21,21,5,2024,2,2,2,Tuesday,May,21,0,0,,0
20240522,2024-05-22,22,5,2024,2,3,3,Wednesday,May,21,0,0,,0
20240523,2024-05-23,23,5,2024,2,4,4,Thursday,May,21,0,0,,0
20240524,2024-05-24,24,5,2024,2,5,5,Friday,May,21,1,0,,0
20240525,2024-05-25,25,5,2024,2,6,6,Saturday,May,21,1,0,,0
20240526,2024-05-26,26,5,2024,2,0,7,Sunday,May,21,0,0,,0
20240527,2024-05-27,27,5,2024,2,1,1,Monday,May,22,0,0,,0
20240528,2024-05-28,28,5,2024,2,2,2,Tuesday,May,22,0,0,,0
20240529,2024-05-29,29,5,2024,2,3,3,Wednesday,May,22,0,0,,0
20240530,2024-05-30,30,5,2024,2,4,4,Thursday,May,22,0,0,,0
20240531,2024-05-31,31,5,2024,2,5,5,Friday,May,22,1,0,,0
20240601,2024-06-01,1,6,2024,2,6,6,Saturday,June,22,1,0,,0
20240602,2024-06-02,2,6,2024,2,0,7,Sunday,June,22,0,0,,0
20240603,2024-06-03,3,6,2024,2,1,1,Monday,June,23,0,0,,0
20240604,2024-06-04,4,6,2024,2,2,2,Tuesday,June,23,0,0,,0
20240605,2024-06-05,5,6,2024,2,3,3,Wednesday,June,23,0,0,,0
20240606,2024-06-06,6,6,2024,2,4,4,Thursday,June,23,0,0,,0
20240607,2024-06-07,7,6,2024,2,5,5,Friday,June,23,1,0,,0
20240608,2024-06-08,8,6,2024,2,6,6,Saturday,June,23,1,0,,0
20240609,2024-06-09,9,6,2024,2,0,7,Sunday,June,23,0,0,,0
20240610,2024-06-10,10,6,2024,2,1,1,Monday,June,24,0,0,,0
20240611,2024-06-11,11,6,2024,2,2,2,Tuesday,June,24,0,0,,1
20240612,2024-06-12,12,6,2024,2,3,3,Wednesday,June,24,0,1,Shavuot,0
20240613,2024-06-13,13,6,2024,2,4,4,Thursday,June,24,0,0,,0
20240614,2024-06-14,14,6,2024,2,5,5,Friday,June,24,1,0,,0
20240615,2024-06-15,15,6,2024,2,6,6,Saturday,June,24,1,0,,0
20240616,2024-06-16,16,6,2024,2,0,7,Sunday,June,24,0,0,,0
20240617,2024-06-17,17,6,2024,2,1,1,Monday,June,25,0,0,,0
20240618,2024-06-18,18,6,2024,2,2,2,Tuesday,June,25,0,0,,0
20240619,2024-06-19,19,6,2024,2,3,3,Wednesday,June,25,0,0,,0
20240620,2024-06-20,20,6,2024,2,4,4,Thursday,June,25,0,0,,0
20240621,2024-06-21,21,6,2024,2,5,5,Friday,June,25,1,0,,0
20240622,2024-06-22,22,6,2024,2,6,6,Saturday,June,25,1,0,,0
20240623,2024-06-23,23,6,2024,2,0,7,Sunday,June,25,0,0,,0
20240624,2024-06-24,24,6,2024,2,1,1,Monday,June,26,0,0,,0
20240625,2024-06-25,25,6,2024,2,2,2,Tuesday,June,26,0,0,,0
20240626,2024-06-26,26,6,2024,2,3,3,Wednesday,June,26,0,0,,0
20240627,2024-06-27,27,6,2024,2,4,4,Thursday,June,26,0,0,,0
20240628,2024-06-28,28,6,2024,2,5,5,Friday,June,26,1,0,,0
20240629,2024-06-29,29,6,2024,2,6,6,Saturday,June,26,1,0,,0
20240630,2024-06-30,30,6,2024,2,0,7,Sunday,June,26,0,0,,0
20240701,2024-07-01,1,7,2024,3,1,1,Monday,July,27,0,0,,0
20240702,2024-07-02,2,7,2024,3,2,2,Tuesday,July,27,0,0,,0
20240703,2024-07-03,3,7,2024,3,3,3,Wednesday,July,27,0,0,,0
20240704,2024-07-04,4,7,2024,3,4,4,Thursday,July,27,0,0,,0
20240705,2024-07-05,5,7,2024,3,5,5,Friday,July,27,1,0,,0
20240706,2024-07-06,6,7,2024,3,6,6,Saturday,July,27,1,0,,0
20240707,2024-07-07,7,7,2024,3,0,7,Sunday,July,27,0,0,,0
20240708,2024-07-08,8,7,2024,3,1,1,Monday,July,28,0,0,,0
20240709,2024-07-09,9,7,2024,3,2,2,Tuesday,July,28,0,0,,0
20240710,2024-07-10,10,7,2024,3,3,3,Wednesday,July,28,0,0,,0
20240711,2024-07-11,11,7,2024,3,4,4,Thursday,July,28,0,0,,0
20240712,2024-07-12,12,7,2024,3,5,5,Friday,July,28,1,0,,0
20240713,2024-07-13,13,7,2024,3,6,6,Saturday,July,28,1,0,,0
20240714,2024-07-14,14,7,2024,3,0,7,Sunday,July,28,0,0,,0
20240715,2024-07-15,15,7,2024,3,1,1,Monday,July,29,0,0,,0
20240716,2024-07-16,16,7,2024,3,2,2,Tuesday,July,29,0,0,,0
20240717,2024-07-17,17,7,2024,3,3,3,Wednesday,July,29,0,0,,0
20240718,2024-07-18,18,7,2024,3,4,4,Thursday,July,29,0,0,,0
20240719,2024-07-19,19,7,2024,3,5,5,Friday,July,29,1,0,,0
20240720,2024-07-20,20,7,2024,3,6,6,Saturday,July,29,1,0,,0
20240721,2024-07-21,21,7,2024,3,0,7,Sunday,July,29,0,0,,0
20240722,2024-07-22,22,7,2024,3,1,1,Monday,July,30,0,0,,0
20240723,2024-07-23,23,7,2024,3,2,2,Tuesday,July,30,0,0,,0
20240724,2024-07-24,24,7,2024,3,3,3,Wednesday,July,30,0,0,,0
20240725,2024-07-25,25,7,2024,3,4,4,Thursday,July,30,0,0,,0
20240726,2024-07-26,26,7,2024,3,5,5,Friday,July,30,1,0,,0
20240727,2024-07-27,27,7,2024,3,6,6,Saturday,July,30,1,0,,0
20240728,2024-07-28,28,7,2024,3,0,7,Sunday,July,30,0,0,,0
20240729,2024-07-29,29,7,2024,3,1,1,Monday,July,31,0,0,,0
20240730,2024-07-30,30,7,2024,3,2,2,Tuesday,July,31,0,0,,0
20240731,2024-07-31,31,7,2024,3,3,3,Wednesday,July,31,0,0,,0
20240801,2024-08-01,1,8,2024,3,4,4,Thursday,August,31,0,0,,0
20240802,2024-08-02,2,8,2024,3,5,5,Friday,August,31,1,0,,0
20240803,2024-08-03,3,8,2024,3,6,6,Saturday,August,31,1,0,,0
20240804,2024-08-04,4,8,2024,3,0,7,Sunday,August,31,0,0,,0
20240805,2024-08-05,5,8,2024,3,1,1,Monday,August,32,0,0,,0
20240806,2024-08-06,6,8,2024,3,2,2,Tuesday,August,32,0,0,,0
20240807,2024-08-07,7,8,2024,3,3,3,Wednesday,August,32,0,0,,0
20240808,2024-08-08,8,8,2024,3,4,4,Thursday,August,32,0,0,,0
20240809,2024-08-09,9,8,2024,3,5,5,Friday,August,32,1,0,,0
20240810,2024-08-10,10,8,2024,3,6,6,Saturday,August,32,1,0,,0
20240811,2024-08-11,11,8,2024,3,0,7,Sunday,August,32,0,0,,0
20240812,2024-08-12,12,8,2024,3,1,1,Monday,August,33,0,0,,0
20240813,2024-08-13,13,8,2024,3,2,2,Tuesday,August,33,0,0,,0
20240814,2024-08-14,14,8,2024,3,3,3,Wednesday,August,33,0,0,,0
20240815,2024-08-15,15,8,2024,3,4,4,Thursday,August,33,0,0,,0
20240816,2024-08-16,16,8,2024,3,5,5,Friday,August,33,1,0,,0
20240817,2024-08-17,17,8,2024,3,6,6,Saturday,August,33,1,0,,0
20240818,2024-08-18,18,8,2024,3,0,7,Sunday,August,33,0,0,,0
20240819,2024-08-19,19,8,2024,3,1,1,Monday,August,34,0,0,,0
20240820,2024-08-20,20,8,2024,3,2,2,Tuesday,August,34,0,0,,0
20240821,2024-08-21,21,8,2024,3,3,3,Wednesday,August,34,0,0,,0
20240822,2024-08-22,22,8,2024,3,4,4,Thursday,August,34,0,0,,0
20240823,2024-08-23,23,8,2024,3,5,5,Friday,August,34,1,0,,0
20240824,2024-08-24,24,8,2024,3,6,6,Saturday,August,34,1,0,,0
20240825,2024-08-25,25,8,2024,3,0,7,Sunday,August,34,0,0,,0
20240826,2024-08-26,26,8,2024,3,1,1,Monday,August,35,0,0,,0
20240827,2024-08-27,27,8,2024,3,2,2,Tuesday,August,35,0,0,,0
20240828,2024-08-28,28,8,2024,3,3,3,Wednesday,August,35,0,0,,0
20240829,2024-08-29,29,8,2024,3,4,4,Thursday,August,35,0,0,,0
20240830,2024-08-30,30,8,2024,3,5,5,Friday,August,35,1,0,,0
20240831,2024-08-31,31,8,2024,3,6,6,Saturday,August,35,1,0,,0
20240901,2024-09-01,1,9,2024,3,0,7,Sunday,September,35,0,0,,0
20240902,2024-09-02,2,9,2024,3,1,1,Monday,September,36,0,0,,0
20240903,2024-09-03,3,9,2024,3,2,2,Tuesday,September,36,0,0,,0
20240904,2024-09-04,4,9,2024,3,3,3,Wednesday,September,36,0,0,,0
20240905,2024-09-05,5,9,2024,3,4,4,Thursday,September,36,0,0,,0
20240906,2024-09-06,6,9,2024,3,5,5,Friday,September,36,1,0,,0
20240907,2024-09-07,7,9,2024,3,6,6,Saturday,September,36,1,0,,0
20240908,2024-09-08,8,9,2024,3,0,7,Sunday,September,36,0,0,,0
20240909,2024-09-09,9,9,2024,3,1,1,Monday,September,37,0,0,,0
20240910,2024-09-10,10,9,2024,3,2,2,Tuesday,September,37,0,0,,0
20240911,2024-09-11,11,9,2024,3,3,3,Wednesday,September,37,0,0,,0
20240912,2024-09-12,12,9,2024,3,4,4,Thursday,September,37,0,0,,0
20240913,2024-09-13,13,9,2024,3,5,5,Friday,September,37,1,0,,0
20240914,2024-09-14,14,9,2024,3,6,6,Saturday,September,37,1,0,,0
20240915,2024-09-15,15,9,2024,3,0,7,Sunday,September,37,0,0,,0
20240916,2024-09-16,16,9,2024,3,1,1,Monday,September,38,0,0,,0
20240917,2024-09-17,17,9,2024,3,2,2,Tuesday,September,38,0,0,,0
20240918,2024-09-18,18,9,2024,3,3,3,Wednesday,September,38,0,0,,0
20240919,2024-09-19,19,9,2024,3,4,4,Thursday,September,38,0,0,,0
20240920,2024-09-20,20,9,2024,3,5,5,Friday,September,38,1,0,,0
20240921,2024-09-21,21,9,2024,3,6,6,Saturday,September,38,1,0,,0
20240922,2024-09-22,22,9,2024,3,0,7,Sunday,September,38,0,0,,0
20240923,2024-09-23,23,9,2024,3,1,1,Monday,September,39,0,0,,0
20240924,2024-09-24,24,9,2024,3,2,2,Tuesday,September,39,0,0,,0
20240925,2024-09-25,25,9,2024,3,3,3,Wednesday,September,39,0,0,,0
20240926,2024-09-26,26,9,2024,3,4,4,Thursday,September,39,0,0,,0
20240927,2024-09-27,27,9,2024,3,5,5,Friday,September,39,1,0,,0
20240928,2024-09-28,28,9,2024,3,6,6,Saturday,September,39,1,0,,0
20240929,2024-09-29,29,9,2024,3,0,7,Sunday,September,39,0,0,,0
20240930,2024-09-30,30,9,2024,3,1,1,Monday,September,40,0,0,,0
20241001,2024-10-01,1,10,2024,4,2,2,Tuesday,October,40,0,0,,0
20241002,2024-10-02,2,10,2024,4,3,3,Wednesday,October,40,0,0,,1
20241003,2024-10-03,3,10,2024,4,4,4,Thursday,October,40,0,1,Rosh Hashana (1),1
20241004,2024-10-04,4,10,2024,4,5,5,Friday,October,40,1,1,Rosh Hashana (2),0
20241005,2024-10-05,5,10,2024,4,6,6,Saturday,October,40,1,0,,0
20241006,2024-10-06,6,10,2024,4,0,7,Sunday,October,40,0,0,,0
20241007,2024-10-07,7,10,2024,4,1,1,Monday,October,41,0,0,,0
20241008,2024-10-08,8,10,2024,4,2,2,Tuesday,October,41,0,0,,0
20241009,2024-10-09,9,10,2024,4,3,3,Wednesday,October,41,0,0,,0
20241010,2024-10-10,10,10,2024,4,4,4,Thursday,October,41,0,0,,0
20241011,2024-10-11,11,10,2024,4,5,5,Friday,October,41,1,0,,1
20241012,2024-10-12,12,10,2024,4,6,6,Saturday,October,41,1,1,Yom Kippur,0
20241013,2024-10-13,13,10,2024,4,0,7,Sunday,October,41,0,0,,0
20241014,2024-10-14,14,10,2024,4,1,1,Monday,October,42,0,0,,0
20241015,2024-10-15,15,10,2024,4,2,2,Tuesday,October,42,0,0,,0
20241016,2024-10-16,16,10,2024,4,3,3,Wednesday,October,42,0,0,,1
20241017,2024-10-17,17,10,2024,4,4,4,Thursday,October,42,0,1,Sukkot (1st day),0
20241018,2024-10-18,18,10,2024,4,5,5,Friday,October,42,1,0,,0
20241019,2024-10-19,19,10,2024,4,6,6,Saturday,October,42,1,0,,0
20241020,2024-10-20,20,10,2024,4,0,7,Sunday,October,42,0,0,,0
20241021,2024-10-21,21,10,2024,4,1,1,Monday,October,43,0,0,,0
20241022,2024-10-22,22,10,2024,4,2,2,Tuesday,October,43,0,0,,0
20241023,2024-10-23,23,10,2024,4,3,3,Wednesday,October,43,0,0,,1
20241024,2024-10-24,24,10,2024,4,4,4,Thursday,October,43,0,1,Simchat Torah,0
20241025,2024-10-25,25,10,2024,4,5,5,Friday,October,43,1,0,,0
20241026,2024-10-26,26,10,2024,4,6,6,Saturday,October,43,1,0,,0
20241027,2024-10-27,27,10,2024,4,0,7,Sunday,October,43,0,0,,0
20241028,2024-10-28,28,10,2024,4,1,1,Monday,October,44,0,0,,0
20241029,2024-10-29,29,10,2024,4,2,2,Tuesday,October,44,0,0,,0
20241030,2024-10-30,30,10,2024,4,3,3,Wednesday,October,44,0,0,,0
20241031,2024-10-31,31,10,2024,4,4,4,Thursday,October,44,0,0,,0
20241101,2024-11-01,1,11,2024,4,5,5,Friday,November,44,1,0,,0
20241102,2024-11-02,2,11,2024,4,6,6,Saturday,November,44,1,0,,0
20241103,2024-11-03,3,11,2024,4,0,7,Sunday,November,44,0,0,,0
20241104,2024-11-04,4,11,2024,4,1,1,Monday,November,45,0,0,,0
20241105,2024-11-05,5,11,2024,4,2,2,Tuesday,November,45,0,0,,0
20241106,2024-11-06,6,11,2024,4,3,3,Wednesday,November,45,0,0,,0
20241107,2024-11-07,7,11,2024,4,4,4,Thursday,November,45,0,0,,0
20241108,2024-11-08,8,11,2024,4,5,5,Friday,November,45,1,0,,0
20241109,2024-11-09,9,11,2024,4,6,6,Saturday,November,45,1,0,,0
20241110,2024-11-10,10,11,2024,4,0,7,Sunday,November,45,0,0,,0
20241111,2024-11-11,11,11,2024,4,1,1,Monday,November,46,0,0,,0
20241112,2024-11-12,12,11,2024,4,2,2,Tuesday,November,46,0,0,,0
20241113,2024-11-13,13,11,2024,4,3,3,Wednesday,November,46,0,0,,0
20241114,2024-11-14,14,11,2024,4,4,4,Thursday,November,46,0,0,,0
20241115,2024-11-15,15,11,2024,4,5,5,Friday,November,46,1,0,,0
20241116,2024-11-16,16,11,2024,4,6,6,Saturday,November,46,1,0,,0
20241117,2024-11-17,17,11,2024,4,0,7,Sunday,November,46,0,0,,0
20241118,2024-11-18,18,11,2024,4,1,1,Monday,November,47,0,0,,0
20241119,2024-11-19,19,11,2024,4,2,2,Tuesday,November,47,0,0,,0
20241120,2024-11-20,20,11,2024,4,3,3,Wednesday,November,47,0,0,,0
20241121,2024-11-21,21,11,2024,4,4,4,Thursday,November,47,0,0,,0
20241122,2024-11-22,22,11,2024,4,5,5,Friday,November,47,1,0,,0
20241123,2024-11-23,23,11,2024,4,6,6,Saturday,November,47,1,0,,0
20241124,2024-11-24,24,11,2024,4,0,7,Sunday,November,47,0,0,,0
20241125,2024-11-25,25,11,2024,4,1,1,Monday,November,48,0,0,,0
20241126,2024-11-26,26,11,2024,4,2,2,Tuesday,November,48,0,0,,0
20241127,2024-11-27,27,11,2024,4,3,3,Wednesday,November,48,0,0,,0
20241128,2024-11-28,28,11,2024,4,4,4,Thursday,November,48,0,0,,0
20241129,2024-11-29,29,11,2024,4,5,5,Friday,November,48,1,0,,0
20241130,2024-11-30,30,11,2024,4,6,6,Saturday,November,48,1,0,,0
20241201,2024-12-01,1,12,2024,4,0,7,Sunday,December,48,0,0,,0
20241202,2024-12-02,2,12,2024,4,1,1,Monday,December,49,0,0,,0
20241203,2024-12-03,3,12,2024,4,2,2,Tuesday,December,49,0,0,,0
20241204,2024-12-04,4,12,2024,4,3,3,Wednesday,December,49,0,0,,0
20241205,2024-12-05,5,12,2024,4,4,4,Thursday,December,49,0,0,,0
20241206,2024-12-06,6,12,2024,4,5,5,Friday,December,49,1,0,,0
20241207,2024-12-07,7,12,2024,4,6,6,Saturday,December,49,1,0,,0
20241208,2024-12-08,8,12,2024,4,0,7,Sunday,December,49,0,0,,0
20241209,2024-12-09,9,12,2024,4,1,1,Monday,December,50,0,0,,0
