sales_date,date_key,store_key,store_name,city,district,store_type,units_sold,gross_revenue,discount_amount,net_revenue,total_cost,gross_margin,margin_pct,num_transactions,distinct_products,avg_basket_value
2024-01-02,20240102,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,2086,24381.40,1065.98,23315.42,16303.71,7011.71,30.07,531,22,43.91
2024-01-02,20240102,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1153,19480.90,1112.75,18368.15,12887.04,5481.11,29.84,336,32,54.67
2024-01-02,20240102,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,1206,15359.90,966.48,14393.42,10078.72,4314.70,29.98,321,28,44.84
2024-01-02,20240102,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,2730,34431.20,2366.23,32064.97,23444.36,8620.61,26.88,703,29,45.61
2024-01-02,20240102,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,986,12986.20,836.66,12149.54,8478.94,3670.60,30.21,310,30,39.19
2024-01-02,20240102,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,882,12347.00,697.50,11649.50,8046.95,3602.55,30.92,269,28,43.31
2024-01-02,20240102,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,1217,15354.30,975.12,14379.18,10247.79,4131.39,28.73,328,28,43.84
2024-01-02,20240102,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1128,12630.30,799.68,11830.62,8362.00,3468.62,29.32,322,25,36.74
2024-01-02,20240102,15,SuperChampion Raanana,Raanana,Central,Supermarket,1323,17161.40,1187.13,15974.27,11439.69,4534.58,28.39,376,32,42.48
2024-01-02,20240102,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,1755,25368.10,1810.68,23557.42,16885.80,6671.62,28.32,512,22,46.01
2024-01-02,20240102,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,2600,31723.20,1960.12,29763.08,21332.83,8430.25,28.32,777,25,38.31
2024-01-02,20240102,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,993,15271.10,1008.30,14262.80,10040.97,4221.83,29.60,282,27,50.58
2024-01-02,20240102,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,2531,33425.20,2301.55,31123.65,22241.10,8882.55,28.54,675,27,46.11
2024-01-02,20240102,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,2419,34405.90,2779.74,31626.16,22447.96,9178.20,29.02,751,24,42.11
2024-01-02,20240102,21,SuperChampion Eilat,Eilat,Southern,Supermarket,1222,17574.20,1049.51,16524.69,11421.38,5103.31,30.88,357,28,46.29
2024-01-02,20240102,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,1118,15948.60,964.34,14984.26,10527.23,4457.03,29.74,318,28,47.12
2024-01-02,20240102,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,1132,12577.90,609.34,11968.56,8370.57,3597.99,30.06,331,25,36.16
2024-01-02,20240102,24,SuperChampion Afula,Afula,Northern,Supermarket,925,11199.30,647.91,10551.39,7509.33,3042.06,28.83,276,22,38.23
2024-01-03,20240103,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,434,6379.10,326.30,6052.80,4059.19,1993.61,32.94,135,21,44.84
2024-01-03,20240103,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,959,14736.80,832.41,13904.39,9518.70,4385.69,31.54,242,28,57.46
2024-01-03,20240103,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,2831,35709.10,2612.20,33096.90,23901.63,9195.27,27.78,842,29,39.31
2024-01-03,20240103,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1196,15611.80,912.46,14699.34,10441.99,4257.35,28.96,336,27,43.75
2024-01-03,20240103,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1052,14742.80,838.16,13904.64,9574.55,4330.09,31.14,301,28,46.19
2024-01-03,20240103,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1129,13998.00,762.06,13235.94,9277.18,3958.76,29.91,314,28,42.15
2024-01-03,20240103,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,1698,25447.40,1392.25,24055.15,17041.28,7013.87,29.16,503,22,47.82
2024-01-03,20240103,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1185,15469.30,938.10,14531.20,10307.07,4224.13,29.07,341,28,42.61
2024-01-03,20240103,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,1066,13534.70,635.46,12899.24,9087.59,3811.65,29.55,276,25,46.74
2024-01-03,20240103,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,2278,26485.80,1464.83,25020.97,17619.66,7401.31,29.58,622,25,40.23
2024-01-03,20240103,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,673,8472.90,487.25,7985.65,5680.87,2304.78,28.86,208,18,38.39
2024-01-03,20240103,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1193,11923.70,766.15,11157.55,7954.47,3203.08,28.71,384,26,29.06
2024-01-03,20240103,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,956,14176.60,803.56,13373.04,9308.17,4064.87,30.40,316,25,42.32
2024-01-03,20240103,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,869,11624.90,787.56,10837.34,7734.67,3102.67,28.63,273,24,39.70
2024-01-03,20240103,15,SuperChampion Raanana,Raanana,Central,Supermarket,1233,15072.40,1072.93,13999.47,10212.67,3786.80,27.05,384,29,36.46
2024-01-03,20240103,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,2550,31945.40,1874.81,30070.59,21492.93,8577.66,28.53,795,27,37.82
2024-01-03,20240103,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,3219,43027.60,3077.96,39949.64,27766.32,12183.32,30.50,828,31,48.25
2024-01-03,20240103,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,1003,11577.30,553.17,11024.13,7958.96,3065.17,27.80,297,25,37.12
2024-01-03,20240103,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,3061,40545.40,1925.76,38619.64,26943.48,11676.16,30.23,861,36,44.85
2024-01-03,20240103,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,2384,33418.30,1739.93,31678.37,22172.00,9506.37,30.01,651,26,48.66
2024-01-03,20240103,21,SuperChampion Eilat,Eilat,Southern,Supermarket,872,10505.90,618.22,9887.68,6952.17,2935.51,29.69,218,23,45.36
2024-01-03,20240103,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,1311,15963.60,1109.64,14853.96,10550.65,4303.31,28.97,379,28,39.19
2024-01-03,20240103,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,856,10114.70,444.52,9670.18,6747.06,2923.12,30.23,259,23,37.34
2024-01-03,20240103,24,SuperChampion Afula,Afula,Northern,Supermarket,1139,14698.30,852.98,13845.32,9883.69,3961.63,28.61,328,27,42.21
2024-01-04,20240104,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,493,5899.00,353.05,5545.95,3985.73,1560.22,28.13,138,24,40.19
2024-01-04,20240104,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,766,9516.30,444.70,9071.60,6162.53,2909.07,32.07,232,22,39.10
2024-01-04,20240104,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,2431,33234.70,2319.58,30915.12,22060.03,8855.09,28.64,673,27,45.94
2024-01-04,20240104,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1181,13152.90,732.60,12420.30,8876.54,3543.76,28.53,320,29,38.81
2024-01-04,20240104,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,723,8505.90,577.85,7928.05,5765.31,2162.74,27.28,244,20,32.49
2024-01-04,20240104,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1314,13804.50,738.66,13065.84,9071.39,3994.45,30.57,338,29,38.66
2024-01-04,20240104,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,3003,41257.10,2526.85,38730.25,27413.30,11316.95,29.22,861,29,44.98
2024-01-04,20240104,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1122,18266.20,718.47,17547.73,12083.51,5464.22,31.14,356,26,49.29
2024-01-04,20240104,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,1342,18392.40,1085.55,17306.85,12355.50,4951.35,28.61,411,32,42.11
2024-01-04,20240104,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,1951,32692.50,1819.04,30873.46,21550.32,9323.14,30.20,581,25,53.14
2024-01-04,20240104,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,706,11186.90,629.07,10557.83,7289.60,3268.23,30.96,206,22,51.25
2024-01-04,20240104,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,838,11596.50,731.20,10865.30,7708.33,3156.97,29.06,252,20,43.12
2024-01-04,20240104,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,886,11965.40,682.09,11283.31,7820.11,3463.20,30.69,266,21,42.42
2024-01-04,20240104,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1136,16671.80,786.35,15885.45,11067.99,4817.46,30.33,333,28,47.70
2024-01-04,20240104,15,SuperChampion Raanana,Raanana,Central,Supermarket,1099,15150.10,843.94,14306.16,10104.97,4201.19,29.37,307,28,46.60
2024-01-04,20240104,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,3184,37669.40,2414.55,35254.85,25562.51,9692.34,27.49,816,34,43.20
2024-01-04,20240104,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,3350,39930.80,2260.71,37670.09,26933.93,10736.16,28.50,987,34,38.17
2024-01-04,20240104,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,1300,14011.90,692.88,13319.02,9110.61,4208.41,31.60,410,27,32.49
2024-01-04,20240104,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,2478,32741.40,1816.74,30924.66,22458.18,8466.48,27.38,681,21,45.41
2024-01-04,20240104,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,2043,24759.50,1460.10,23299.40,16060.73,7238.67,31.07,591,20,39.42
2024-01-04,20240104,21,SuperChampion Eilat,Eilat,Southern,Supermarket,972,13771.20,700.51,13070.69,9168.99,3901.70,29.85,263,25,49.70
2024-01-04,20240104,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,864,12168.60,692.33,11476.27,8147.32,3328.95,29.01,225,22,51.01
2024-01-04,20240104,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,1116,15598.10,972.25,14625.85,10381.86,4243.99,29.02,318,28,45.99
2024-01-04,20240104,24,SuperChampion Afula,Afula,Northern,Supermarket,701,9352.00,653.21,8698.79,6258.81,2439.98,28.05,198,21,43.93
2024-01-05,20240105,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,689,9108.80,504.13,8604.67,5971.65,2633.02,30.60,196,25,43.90
2024-01-05,20240105,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1173,17542.10,1421.05,16121.05,11663.38,4457.67,27.65,347,18,46.46
2024-01-05,20240105,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,5483,71065.90,4524.49,66541.41,47132.69,19408.72,29.17,1427,36,46.63
2024-01-05,20240105,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,2392,29101.80,1837.76,27264.04,19776.60,7487.44,27.46,657,32,41.50
2024-01-05,20240105,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1878,22757.20,1354.50,21402.70,15185.18,6217.52,29.05,544,27,39.34
2024-01-05,20240105,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1619,21621.40,1186.25,20435.15,14516.55,5918.60,28.96,455,27,44.91
2024-01-05,20240105,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,4357,62045.40,4625.96,57419.44,40433.82,16985.62,29.58,1143,27,50.24
2024-01-05,20240105,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1946,24467.30,1349.25,23118.05,15737.28,7380.77,31.93,507,29,45.60
2024-01-05,20240105,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,2300,29946.80,1758.90,28187.90,20027.67,8160.23,28.95,701,28,40.21
2024-01-05,20240105,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,3655,49324.10,2279.53,47044.57,32430.45,14614.12,31.06,1087,26,43.28
2024-01-05,20240105,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,1696,20617.60,1094.56,19523.04,13954.72,5568.32,28.52,467,26,41.81
2024-01-05,20240105,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1972,25999.60,1274.01,24725.59,16969.48,7756.11,31.37,549,29,45.04
2024-01-05,20240105,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,1697,21354.00,1469.68,19884.32,14171.49,5712.83,28.73,455,26,43.70
2024-01-05,20240105,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1910,22565.80,1398.57,21167.23,14973.06,6194.17,29.26,506,31,41.83
2024-01-05,20240105,15,SuperChampion Raanana,Raanana,Central,Supermarket,2308,25807.70,1230.30,24577.40,17471.66,7105.74,28.91,652,28,37.70
2024-01-05,20240105,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,3643,55731.70,3548.94,52182.76,36263.14,15919.62,30.51,1104,23,47.27
2024-01-05,20240105,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,4970,60044.60,3333.26,56711.34,39668.95,17042.39,30.05,1446,29,39.22
2024-01-05,20240105,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,1940,21557.70,1273.29,20284.41,14126.99,6157.42,30.36,519,28,39.08
2024-01-05,20240105,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,5001,68128.40,4341.54,63786.86,45056.35,18730.51,29.36,1452,30,43.93
2024-01-05,20240105,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,5347,73573.30,5218.63,68354.67,48201.69,20152.98,29.48,1567,31,43.62
2024-01-05,20240105,21,SuperChampion Eilat,Eilat,Southern,Supermarket,2220,26744.40,1553.14,25191.26,17716.67,7474.59,29.67,608,31,41.43
2024-01-05,20240105,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,1799,26207.90,1572.45,24635.45,17238.48,7396.97,30.03,499,26,49.37
2024-01-05,20240105,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,1584,21193.60,1122.13,20071.47,14171.28,5900.19,29.40,450,20,44.60
2024-01-05,20240105,24,SuperChampion Afula,Afula,Northern,Supermarket,1873,25011.30,1187.83,23823.47,16817.93,7005.54,29.41,497,26,47.93
2024-01-06,20240106,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,244,2945.40,168.97,2776.43,1959.73,816.70,29.42,78,29,35.60
2024-01-06,20240106,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,523,7855.20,448.31,7406.89,5208.38,2198.51,29.68,150,32,49.38
2024-01-06,20240106,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,1188,13404.70,978.19,12426.51,8785.74,3640.77,29.30,381,25,32.62
2024-01-06,20240106,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,666,7753.30,431.93,7321.37,5156.68,2164.69,29.57,211,31,34.70
2024-01-06,20240106,21,SuperChampion Eilat,Eilat,Southern,Supermarket,526,6980.60,430.06,6550.54,4645.72,1904.82,29.08,154,28,42.54
2024-01-06,20240106,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,344,4707.40,328.79,4378.61,3077.79,1300.82,29.71,111,18,39.45
2024-01-07,20240107,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,425,6263.50,349.77,5913.73,4086.31,1827.42,30.90,113,23,52.33
2024-01-07,20240107,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1402,17148.40,1085.14,16063.26,11140.27,4922.99,30.65,397,25,40.46
2024-01-07,20240107,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,3279,49539.80,2683.63,46856.17,32781.57,14074.60,30.04,1004,29,46.67
2024-01-07,20240107,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1071,16372.30,1109.26,15263.04,11167.08,4095.96,26.84,318,26,48.00
2024-01-07,20240107,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,963,11787.20,846.45,10940.75,7878.29,3062.46,27.99,259,23,42.24
2024-01-07,20240107,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1415,17722.20,1275.48,16446.72,11812.00,4634.72,28.18,352,29,46.72
2024-01-07,20240107,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,3210,43060.90,2029.74,41031.16,29062.91,11968.25,29.17,935,24,43.88
2024-01-07,20240107,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1415,17951.90,1036.07,16915.83,12067.13,4848.70,28.66,412,30,41.06
2024-01-07,20240107,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,871,14513.20,778.17,13735.03,9506.82,4228.21,30.78,262,22,52.42
2024-01-07,20240107,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,3043,39998.50,2286.99,37711.51,26349.54,11361.97,30.13,771,25,48.91
2024-01-07,20240107,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,1248,19329.40,1279.37,18050.03,12450.33,5599.70,31.02,353,26,51.13
2024-01-07,20240107,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1302,17170.00,1088.28,16081.72,11643.68,4438.04,27.60,363,26,44.30
2024-01-07,20240107,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,1657,22870.40,1658.17,21212.23,15038.25,6173.98,29.11,488,36,43.47
2024-01-07,20240107,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1057,13624.10,1148.61,12475.49,8983.72,3491.77,27.99,253,20,49.31
2024-01-07,20240107,15,SuperChampion Raanana,Raanana,Central,Supermarket,1466,20872.20,1284.59,19587.61,13997.35,5590.26,28.54,437,31,44.82
2024-01-07,20240107,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,3279,42337.10,2610.55,39726.55,28730.33,10996.22,27.68,969,33,41.00
2024-01-07,20240107,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,2596,35386.80,1437.24,33949.56,23432.97,10516.59,30.98,785,23,43.25
2024-01-07,20240107,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,1401,17613.70,902.35,16711.35,11820.05,4891.30,29.27,380,27,43.98
2024-01-07,20240107,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,2301,33961.10,1800.44,32160.66,22670.13,9490.53,29.51,660,24,48.73
2024-01-07,20240107,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,2983,40227.50,2260.47,37967.03,26565.11,11401.92,30.03,814,27,46.64
2024-01-07,20240107,21,SuperChampion Eilat,Eilat,Southern,Supermarket,1342,17316.40,1203.92,16112.48,11730.81,4381.67,27.19,396,29,40.69
2024-01-07,20240107,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,1662,19454.00,1136.95,18317.05,12887.14,5429.91,29.64,493,30,37.15
2024-01-07,20240107,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,1041,14519.30,943.02,13576.28,9622.05,3954.23,29.13,270,22,50.28
2024-01-07,20240107,24,SuperChampion Afula,Afula,Northern,Supermarket,1270,19205.90,1081.62,18124.28,12581.75,5542.53,30.58,390,26,46.47
2024-01-08,20240108,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,545,7019.20,385.51,6633.69,4693.92,1939.77,29.24,163,28,40.70
2024-01-08,20240108,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1355,14021.60,608.16,13413.44,9309.21,4104.23,30.60,393,29,34.13
2024-01-08,20240108,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,2650,33060.60,2001.91,31058.69,21714.29,9344.40,30.09,758,29,40.97
2024-01-08,20240108,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1523,19094.90,1005.33,18089.57,12962.42,5127.15,28.34,433,34,41.78
2024-01-08,20240108,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1057,14545.40,786.98,13758.42,9512.08,4246.34,30.86,277,27,49.67
2024-01-08,20240108,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1114,15416.70,992.88,14423.82,9864.50,4559.32,31.61,317,30,45.50
2024-01-08,20240108,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,2202,29852.10,1963.68,27888.42,19165.66,8722.76,31.28,567,24,49.19
2024-01-08,20240108,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,799,8441.70,447.91,7993.79,5626.79,2367.00,29.61,252,21,31.72
2024-01-08,20240108,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,835,10545.90,739.27,9806.63,6981.15,2825.48,28.81,259,21,37.86
2024-01-08,20240108,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,1992,31085.80,1493.02,29592.78,20495.76,9097.02,30.74,573,23,51.65
2024-01-08,20240108,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,1360,15439.70,749.31,14690.39,10209.05,4481.34,30.51,358,32,41.03
2024-01-08,20240108,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1120,14731.50,882.07,13849.43,9942.54,3906.89,28.21,299,27,46.32
2024-01-08,20240108,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,976,11148.40,650.25,10498.15,7507.06,2991.09,28.49,301,23,34.88
2024-01-08,20240108,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1169,12364.30,691.61,11672.69,7935.10,3737.59,32.02,315,26,37.06
2024-01-08,20240108,15,SuperChampion Raanana,Raanana,Central,Supermarket,1108,12677.00,753.65,11923.35,8318.80,3604.55,30.23,321,26,37.14
2024-01-08,20240108,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,2306,28972.10,1915.17,27056.93,19437.63,7619.30,28.16,623,26,43.43
